"design_id","operational_id","connection_count","block_creation_interval","maximum_block_size","validating_node_count","node_bandwidth_heterogeneity","link_bandwidth_heterogeneity","hashing_power_concentration","number_of_attackers","transaction_arrival_rate","execution_index","manifest_pair_id","network_instance","event_replication","network_realization_id","network_seed","event_seed","run_id"
"D056","O041","8","119","4.76031618","49","0.297735298","0.268205888","0.212580592","7","7.958345483","9321","D056_O041","1","1","D056_O041_S01","5488670049714698345","-1196641888851555010","D056_O041_S01_E01"
"D056","O063","8","119","4.76031618","159","0.167777479","0.069957712","0.130372357","38","93.05161657","9325","D056_O063","1","1","D056_O063_S01","-8119105722025463761","-3880497895740055696","D056_O063_S01_E01"
"D056","O019","8","119","4.76031618","24","0.431629638","0.254066717","0.253740338","1","81.84181276","9329","D056_O019","1","1","D056_O019_S01","-4681642004654485780","-1711277051141485466","D056_O019_S01_E01"
"D056","O012","8","119","4.76031618","121","0.018977159","0.042108472","0.106166432","7","1.324950388","9333","D056_O012","1","1","D056_O012_S01","5694951793218890623","1369201405431591085","D056_O012_S01_E01"
"D056","O043","8","119","4.76031618","936","0.154267686","0.332919895","0.389161836","211","3.031297441","9337","D056_O043","1","1","D056_O043_S01","-5069310092313717390","-4706013583514900001","D056_O043_S01_E01"
"D056","O020","8","119","4.76031618","113","0.348269976","0.095285863","0.409466489","28","177.5293199","9341","D056_O020","1","1","D056_O020_S01","8885812968049921401","1081221976637254871","D056_O020_S01_E01"
"D056","O038","8","119","4.76031618","765","0.137328547","0.153890662","0.395745604","73","17.92553553","9345","D056_O038","1","1","D056_O038_S01","6673518524966817598","-3476393725104377494","D056_O038_S01_E01"
"D056","O010","8","119","4.76031618","78","0.42428609","0.04657399","0.47291634","6","42.11936173","9349","D056_O010","1","1","D056_O010_S01","-8656077297059270031","-5448165197061093958","D056_O010_S01_E01"
"D056","O053","8","119","4.76031618","251","0.008437374","0.219704544","0.077608614","11","28.50121375","9353","D056_O053","1","1","D056_O053_S01","5379697986076548080","5278493929120976098","D056_O053_S01_E01"
"D056","O032","8","119","4.76031618","449","0.47407037","0.293964396","0.333868972","86","0.300780128","9357","D056_O032","1","1","D056_O032_S01","1386493053333792555","5680313806078513863","D056_O032_S01_E01"
"D014","O084","7","749","0.675783574","797","0.372992677","0.000386491","0.00152113","169","183.7215225","10521","D014_O084","1","1","D014_O084_S01","-5379814921705028799","-693832186971296846","D014_O084_S01_E01"
"D029","O084","6","1106","1.215069684","797","0.372992677","0.000386491","0.00152113","169","183.7215225","11097","D029_O084","1","1","D029_O084_S01","5428967730810796790","7491223495697329864","D029_O084_S01_E01"
"D052","O043","2","65","3.950760673","936","0.154267686","0.332919895","0.389161836","211","3.031297441","11257","D052_O043","1","1","D052_O043_S01","5599594389829690041","4292605742684176794","D052_O043_S01_E01"
"D119","O043","8","92","0.389339241","936","0.154267686","0.332919895","0.389161836","211","3.031297441","12025","D119_O043","1","1","D119_O043_S01","-8592212325459828473","5557152906799622096","D119_O043_S01_E01"
