config_id,Hnode,Hlink,block_creation_interval,hashrate_concentration,max_block_size,inbound_connections,outbound_connections,validator_count,number_of_attackers
61,1.961415167,6.287278775,284,0.6313329,4.603305264,2,5,723,155
62,9.417211175,6.228707327,73,0.193638147,4.222975722,92,5,629,56
63,6.879788386,1.450362566,485,0.919261058,6.21992438,39,2,207,30
64,3.554666014,2.488541154,545,0.175323087,6.541395591,119,6,507,35
65,2.916617301,7.69271342,270,0.088044166,2.514164951,93,1,310,0
66,5.040725351,8.353560195,388,0.311421793,7.362660501,74,2,547,112
67,6.198255174,4.094095162,482,0.633609517,2.466782008,82,1,724,138
68,0.962969572,3.011328418,395,0.826266397,5.673231387,11,4,239,44
69,9.564997661,6.990776105,457,0.346532493,7.507875255,125,7,485,81
70,3.911703945,2.278286305,518,0.293318818,7.234120572,19,7,76,19
71,5.645490907,5.873170892,133,0.769254595,3.845245174,22,1,387,35
72,3.60726396,4.064009159,549,0.742101494,5.270403458,124,6,386,72
73,5.394943536,8.624941795,61,0.53420873,3.127493136,28,8,596,149
74,1.519680916,2.671634921,586,0.351687417,1.104258358,88,6,437,0
75,7.766412854,0.236211024,195,0.16545035,2.46437927,38,4,934,186
76,0.942753984,9.585877085,202,0.771447585,3.735720063,63,6,829,177
77,9.562514375,9.894202809,353,0.699355073,3.059344572,110,6,376,94
78,3.578358214,1.807096346,189,0.766515364,6.10872353,5,8,631,0
79,7.622859499,7.720549675,69,0.998877021,4.701724396,84,3,85,6
80,0.562792543,5.165804105,553,0.476754617,3.09912972,107,7,220,30
81,4.644758292,0.90541807,588,0.222080451,6.393438925,9,4,900,0
82,7.692981462,3.05945174,569,0.788477957,5.467540182,86,6,868,217
83,0.32979631,2.390951891,246,0.521775859,2.361603635,66,2,232,23
84,3.204041763,8.539144493,532,0.889479303,5.001946595,98,2,665,50
85,4.239990866,3.443145068,409,0.895078461,7.18297085,51,5,151,29
86,2.099616656,5.283871225,108,0.277424382,2.323459235,68,7,390,37
87,3.10950612,7.588996424,555,0.489674513,6.520583125,53,2,149,33
88,8.08293963,9.901303939,420,0.841100936,3.531064814,85,3,884,76
89,1.236833589,3.484253454,489,0.675307043,6.77385859,8,3,747,70
90,6.271320367,3.963177615,178,0.595747947,2.356887455,7,5,527,20
91,6.237920649,5.849650612,533,0.163787161,4.191692258,54,6,353,40
92,1.03704297,2.69279971,217,0.58541049,7.090713874,124,2,178,15
93,5.841286707,2.354338421,251,0.472892918,1.401565535,90,8,751,0
94,9.723128342,9.516498407,599,0.64197506,6.618652128,98,2,853,0
95,8.205393928,2.462484884,403,0.506076901,0.817185883,12,5,847,0
96,8.050297942,4.619676801,174,0.423241895,7.821486198,19,1,583,92
97,9.072050337,4.929309428,219,0.612526854,4.154452132,29,8,218,0
98,6.111732535,4.976357612,440,0.761117963,2.136053446,91,3,823,148
99,2.655479449,9.357140723,359,0.407642792,6.753891342,10,4,627,26
100,3.526293012,6.328069279,399,0.969117916,2.763218664,52,3,838,108
101,7.157630084,4.431063091,146,0.052057477,4.916130349,122,5,439,0
102,5.182763476,1.86685689,440,0.605800981,1.189138157,20,3,686,135
103,1.915571563,3.130778385,70,0.710308406,4.239440279,104,3,597,132
104,6.339931723,1.910032288,564,0.389407934,6.118745584,67,2,946,201
105,8.436957531,0.100024881,429,0.917799209,5.693008883,120,4,706,83
106,2.550343872,4.738937145,371,0.21825085,1.526990494,25,2,129,0
107,2.100987624,2.980521012,260,0.170964677,1.141395577,81,4,216,0
108,0.879534209,8.772680107,491,0.24229607,0.534887686,55,4,382,45
109,5.562444724,3.329046402,230,0.912582276,2.939792281,16,7,802,38
110,1.885597504,2.61971603,328,0.229694246,1.367229679,40,8,851,187
111,3.121578857,8.460533396,514,0.795576091,4.681624615,4,1,50,8
112,4.509838252,1.52437115,197,0.467828228,1.729260133,36,6,664,166
113,2.224021633,3.216125664,223,0.036250298,5.838171848,33,7,293,63
114,5.325268615,8.277387282,81,0.934215025,5.895880911,21,5,22,3
115,6.159838795,9.755146557,275,0.05519372,7.309291807,34,1,35,0
116,8.541787978,7.57259446,180,0.4711199,6.355049991,84,3,368,19
117,0.733208624,3.419934373,169,0.736443697,7.707201002,49,4,811,0
118,8.626448646,6.093786289,294,0.754503858,6.972329189,111,3,885,85
119,9.064348883,6.96755912,504,0.502047743,5.82380502,37,7,775,73
120,8.186117497,4.761213211,125,0.936292031,1.717505657,73,3,997,0
121,4.411564741,0.873929098,73,0.36734185,6.843588223,5,6,845,76
122,9.329231928,3.18131163,177,0.825978545,5.76400397,37,4,740,185
123,1.290760716,5.711278036,587,0.22132774,0.764638582,105,8,522,97
124,4.171076761,1.387027532,328,0.169692073,5.084540251,62,8,279,32
125,3.502867649,3.984943388,142,0.030230302,0.720216475,45,3,615,124
126,4.905109098,5.61428483,415,0.086694627,7.382638259,43,6,752,58
127,6.040462051,5.403376735,221,0.17793801,0.34572021,115,4,744,48
128,8.008052196,0.329350013,501,0.645896501,6.670078464,106,5,544,136
129,7.315364828,3.802013776,268,0.625175483,6.06168149,78,5,296,21
130,7.195285299,1.778710418,317,0.333706273,3.383157585,114,6,917,152
131,4.80517937,7.035191608,398,0.084495342,4.039685232,80,6,343,15
132,7.460403282,5.193520482,274,0.622403103,3.331218013,17,5,314,60
133,2.611660908,3.690659911,182,0.426126661,7.025436195,103,8,106,0
134,9.384545472,4.232476145,377,0.322867159,5.802177075,85,2,801,0
135,8.641689143,6.426373397,582,0.017162688,7.433090279,12,3,317,56
136,3.132455152,3.769553059,445,0.446646695,5.022975772,103,6,987,170
137,0.274795185,4.722674064,507,0.155047816,4.4669991,75,4,996,217
138,5.346438793,0.372960973,200,0.12758603,2.800153241,24,5,538,40
139,7.517856978,1.326505646,79,0.837470386,7.913037481,27,3,552,63
140,4.077673421,2.275716537,160,0.713756062,6.622788074,103,6,786,89
141,9.801125333,8.368454954,228,0.505676843,7.753210589,19,3,96,24
142,7.439400496,9.050176482,404,0.66120495,2.379936333,117,8,504,0
143,3.602528621,8.681531243,339,0.679182661,0.433434258,39,7,911,48
144,2.239521029,5.144176784,504,0.049452303,3.944289322,17,2,895,108
145,6.671726133,1.68071196,358,0.450783742,4.214674646,27,5,28,3
146,9.843035404,4.127371588,85,0.557894848,6.870660229,47,8,964,241
147,1.326836868,4.15407593,107,0.997946935,1.090976371,11,7,200,50
148,3.509824336,6.391183704,213,0.057253879,3.550386136,32,6,236,0
149,2.366377539,9.188884764,139,0.468181898,6.044092056,15,6,671,73
150,5.611709522,8.959391805,201,0.580035711,5.682738512,88,5,779,118
151,7.826063939,4.677641386,182,0.723392407,1.956947819,11,5,926,156
152,9.898195548,9.254167051,385,0.74476257,4.40036258,80,8,141,18
153,4.302433621,1.201986007,386,0.444102709,1.297722592,76,8,540,102
154,8.2601461,6.047242158,206,0.847252564,6.295792702,22,7,433,92
155,7.748625219,9.083225056,68,0.655909771,3.598120168,1,1,163,20
156,6.314361824,8.108409017,522,0.399278685,4.909342884,55,5,660,147
157,1.16451016,0.252736263,322,0.492772812,4.048801096,16,6,642,34
158,3.419880603,1.245886682,406,0.790908649,2.737084404,15,8,56,2
159,0.427563204,6.745150439,77,0.136403805,5.04816116,29,6,63,4
160,8.463278024,5.253787918,495,0.381051663,3.458876092,64,8,831,0
161,9.440920063,6.514227471,147,0.899873343,1.889975574,78,5,444,32
162,2.492414131,7.489348444,390,0.730271726,5.592949297,29,7,490,48
163,7.882475266,2.428909466,516,0.038747681,3.223204697,60,2,700,59
164,5.481072817,4.646420893,473,0.413214164,7.580943567,111,4,864,95
165,4.832727696,7.148902665,185,0.659595189,1.049462626,73,5,644,112
166,1.821593497,3.540177443,476,0.234206489,2.102628802,39,5,120,7
167,0.467722237,0.206168852,382,0.259363872,7.080111059,94,5,265,40
168,1.866815864,2.737119965,558,0.649184116,2.149691283,27,3,330,69
169,3.928788865,8.599204058,562,0.098830722,1.906783774,76,3,114,8
170,1.668142493,2.503845096,155,0.434514187,4.115914877,51,3,79,5
171,0.846295003,0.794837492,162,0.317107221,4.427340804,68,4,636,83
172,6.002337437,5.172013206,508,0.290895494,7.640766489,50,7,767,49
173,1.627598502,1.558651822,310,0.653122357,3.818125562,116,3,897,61
174,5.510153457,6.839068631,312,0.252196716,1.066240507,53,5,314,0
175,1.445199511,3.615844558,413,0.240770788,3.146187645,96,5,144,13
176,2.154741482,6.598498501,541,0.643245588,4.312969864,68,3,661,0
177,3.173880689,5.491169945,106,0.094885996,2.864907356,124,7,925,130
178,0.89439184,8.524280403,589,0.797616158,7.293366041,23,3,354,22
179,4.719781369,8.300873417,437,0.855731266,4.885049957,57,3,357,17
180,3.304670651,6.915717383,271,0.870373681,5.780197339,103,4,104,26
181,7.334963969,8.99972549,349,0.977821916,7.283626758,97,7,441,21
182,6.539645545,0.413827435,484,0.0837133,6.260402753,71,8,380,19
183,5.084731663,3.649549658,346,0.587485699,6.00529877,26,6,135,20
184,3.687838003,7.255600887,486,0.379467938,7.654750917,85,6,174,0
185,1.204351148,6.716235913,551,0.363929766,5.641489906,82,7,83,7
186,8.121950257,0.776202061,287,0.026563648,1.864054935,104,8,187,23
187,2.262539401,0.655617473,152,0.48023294,5.127501398,108,5,999,0
188,8.568700473,2.399260378,436,0.83099425,7.496168208,75,4,459,37
189,1.758314844,1.21401684,471,0.122603143,2.580517854,113,7,318,31
190,6.456113132,9.438629397,367,0.478862518,7.163207254,10,6,159,0
191,4.678001702,4.463529651,184,0.501117555,5.067577781,73,6,74,14
192,6.036123722,4.559668635,525,0.838576164,5.575282704,59,7,101,0
193,4.357590009,4.397873464,220,0.279910117,2.051879561,69,4,70,11
194,3.394918293,5.216511659,274,0.318696075,2.704003773,66,6,762,143
195,6.583210067,6.522062775,192,0.120533067,5.556573192,57,5,198,31
196,6.693411703,2.065776659,185,0.677522894,0.690558655,33,6,34,0
197,4.75062181,9.80058817,462,0.992868456,2.118152129,102,3,481,86
198,7.675631092,7.871586051,474,0.364574501,5.885065412,47,4,48,6
199,6.985238065,9.383160075,584,0.739194774,4.02688188,26,2,210,43
200,3.284037105,7.441510877,336,0.124180407,4.167923432,13,3,659,120
201,7.572315359,6.68560955,243,0.536612919,1.976410761,54,6,453,30
202,7.80352614,3.758597115,367,0.182510476,7.903325538,36,3,99,15
203,6.426115954,3.671529556,153,0.869016375,5.976805808,52,1,227,28
204,6.763064487,1.131150637,374,0.141379275,4.5750859,28,7,682,58
205,4.158988751,8.802016457,420,0.02974194,7.798001689,47,6,968,141
206,1.002957908,6.07314048,205,0.562817712,4.796590001,49,7,87,4
207,1.01633022,7.064831604,590,0.289406247,5.996618287,30,4,714,54
208,0.40636989,3.453347261,322,0.615322817,4.465798603,34,4,877,104
209,2.776824678,1.485507782,479,0.808341558,4.613004179,52,4,435,39
210,9.872912219,7.556515204,121,0.511898928,3.645465566,109,5,887,154
211,7.916488218,4.302365046,444,0.971957688,7.111596397,18,7,277,30
212,8.783302792,7.900815429,264,0.321063325,3.104127149,71,2,370,54
213,2.757105505,6.339117561,190,0.32752651,5.381989485,48,2,290,64
214,4.341177673,2.113731528,596,0.666294755,5.174345785,11,5,516,113
215,6.555567042,5.942101489,173,0.626864488,2.962932912,29,3,699,136
216,1.087964606,5.456394556,289,0.988793786,2.899840447,25,3,26,2
217,9.99199774,1.487471404,549,0.262140854,1.553972371,86,6,456,51
218,4.48722626,9.101486611,392,0.696899353,0.834201637,76,6,132,33
219,6.248066115,3.394513935,149,0.607849965,7.477188398,85,8,605,51
220,0.73420472,3.595470231,102,0.433137847,1.429911489,23,4,966,96
221,6.840866738,5.56004352,425,0.669864963,4.308284701,42,6,359,0
222,7.403218154,9.424049635,191,0.015320528,1.349395711,97,5,463,66
223,8.240017031,9.732302576,434,0.268589944,7.985228885,27,3,419,0
224,9.719564844,5.677297138,394,0.430374984,0.311723155,63,5,717,76
225,9.947014825,2.336765537,245,0.793650385,0.475811455,33,1,709,126
226,3.992797375,6.939986438,148,0.958939118,7.959800508,31,5,564,90
227,1.74141431,9.504678109,242,0.393955462,7.537617754,90,6,345,23
228,4.206359047,2.002972774,394,0.975290396,0.41292088,110,5,949,150
229,8.826536974,2.894915438,450,0.70340015,4.378303119,3,2,778,117
230,9.676852436,7.633819535,526,0.78115269,5.939292932,107,8,648,90
231,1.36998129,4.268924603,411,0.152289049,6.164956713,21,2,860,33
232,1.287384822,3.913641613,342,0.08063993,3.881692124,91,2,420,105
233,3.154808315,5.298163117,313,0.525011873,6.177634765,82,5,872,195
234,3.891806916,2.770546027,472,0.457882169,7.594973347,64,2,975,50
235,0.125470985,4.045359257,288,0.593674287,7.139452908,59,1,545,0
236,5.938427554,3.938141996,320,0.953783501,7.004276141,68,7,738,0
237,9.398503306,7.180773679,244,0.067344152,3.452359419,26,4,477,102
238,4.631483217,6.97662807,545,0.021700334,6.686003939,58,1,191,19
239,8.948111856,3.370833305,282,0.533828035,5.797537707,95,5,607,102
240,2.964785834,1.252950298,75,0.804795179,0.995843941,109,7,537,38
241,7.377525321,8.866148774,560,0.887902073,6.947869118,14,6,676,125
242,0.171222984,4.526928683,538,0.720994641,5.534108825,31,2,512,67
243,5.262716909,1.011398523,188,0.942064814,6.507899633,80,1,200,50
244,9.261110814,8.429655591,326,0.941769628,2.613459056,42,4,90,8
245,7.21267567,2.802457589,387,0.224674151,7.245043993,8,2,719,128
246,5.232349817,3.816211115,594,0.265426215,3.410385652,101,4,578,32
247,9.823337319,3.873110207,331,0.128140736,6.140813858,42,6,962,77
248,0.593662959,0.312384884,527,0.465040403,6.665959087,46,7,697,77
249,9.30513838,5.825712855,458,0.817547622,2.191996477,88,6,125,21
250,5.709789709,7.200896208,365,0.664318111,1.390007241,41,1,247,38
251,2.903129287,2.124117161,530,0.932824961,0.932523859,14,1,639,39
252,0.764703842,1.078813978,508,0.851083247,7.936561825,120,2,634,125
253,3.332876059,5.60399883,391,0.910775121,6.81030416,56,1,580,145
254,1.798517868,6.696165151,318,0.813393503,6.803584384,99,7,870,101
255,8.929649452,4.595626676,532,0.835063359,3.696032161,59,4,511,88
256,2.566583381,4.995976059,566,0.903990285,1.269500484,90,3,184,16
257,1.497164499,4.390172055,86,0.061137698,7.448228398,21,5,568,68
258,8.333020474,7.108085482,145,0.297650926,1.165225341,109,7,146,0
259,4.43318422,5.899810509,483,0.548027941,3.238261126,50,2,272,0
260,7.602483113,4.160934397,194,0.681143215,4.780808691,70,2,392,98
261,7.640427682,3.364938133,373,0.73342388,1.42691606,116,5,230,23
262,6.098929621,8.825567958,303,0.375530593,3.428756899,105,8,154,12
263,9.767228808,1.188351407,342,0.683454827,4.133096444,57,5,772,150
264,7.974720656,2.706341695,361,0.201075544,7.374933076,77,6,444,111
265,5.686132335,6.65047955,496,0.820612281,7.831612928,37,4,808,202
266,2.497812342,3.842453711,469,0.963780688,4.271241292,82,6,876,219
267,7.473615251,4.020573356,547,0.568325235,0.976579149,39,7,310,43
268,4.913527678,2.717445701,569,0.752179346,6.739890115,38,5,39,3
269,3.636575228,4.247358736,277,0.073785426,0.877768337,30,6,633,70
270,1.343479981,0.91644664,329,0.588199444,1.32187345,54,2,892,157
271,2.645282358,2.035039327,272,0.694081581,4.075605301,26,7,27,3
272,5.48838069,9.531760726,522,0.307044107,1.357638715,123,6,866,51
273,0.36565703,6.243714095,155,0.706559568,4.099556018,87,7,533,111
274,5.780596371,2.256135846,383,0.172254026,0.611474701,23,7,58,9
275,5.022389266,6.543049566,84,0.692791385,7.41451947,117,7,172,28
276,1.584002481,8.05967668,401,0.20640841,6.311365773,17,2,493,64
277,9.924448533,2.963409813,555,0.99439459,3.581703003,13,2,678,68
278,5.348518607,3.884103408,105,0.313278379,3.006267484,41,1,572,46
279,2.745081034,0.34098282,150,0.77989335,7.256009454,39,2,843,183
280,1.774688646,0.824927928,536,0.411534536,3.073532068,49,3,456,114
281,7.927809737,0.524446338,307,0.280611475,4.878836634,47,3,748,33
282,2.463500539,7.512721096,428,0.158619009,1.582744526,9,6,792,198
283,2.529308224,1.936331891,78,0.88300687,3.205234386,42,7,688,96
284,5.449742935,5.796070622,593,0.576913382,1.497761156,115,2,413,87
285,2.063051942,8.252404708,468,0.907150446,3.929426123,112,6,549,70
286,3.717990894,7.341679921,359,0.984690008,6.233068893,93,7,344,47
287,2.940404943,5.055284135,375,0.298516619,6.711604512,119,4,469,83
288,9.283346361,8.000122896,552,0.075331282,3.846993951,7,7,558,0
289,0.245479168,0.677103285,520,0.991859771,4.17842053,67,6,124,0
290,3.255663184,4.110356437,600,0.325936837,3.260161557,77,5,600,65
291,4.458244418,1.647978664,231,0.343559903,7.329297363,16,7,818,151
292,2.190259725,8.319425956,340,0.391543328,6.720460914,20,4,858,107
293,5.91548665,1.421821976,460,0.719110124,6.935001845,99,6,693,113
294,6.491256309,5.09310587,352,0.498019357,2.392720232,8,3,824,71
295,7.134357673,7.726984753,144,0.144307314,1.660606968,14,6,980,80
296,3.309176825,3.101790367,487,0.353788115,3.753088681,34,3,415,32
297,8.167077529,9.469244824,151,0.852824711,6.90325239,48,5,298,61
298,5.968487145,5.731476417,466,0.261121805,4.484323553,61,4,561,90
299,9.134354633,1.969462887,95,0.908521655,4.694798827,116,7,988,76
300,8.665850111,3.008266691,277,0.044800609,1.768303885,65,5,732,119
301,7.048049873,7.772907542,400,0.032375406,2.654239694,2,2,159,11
302,9.116072485,4.812954512,491,0.891500659,1.844337768,31,3,32,8
303,2.21835961,5.751781575,418,0.212385105,6.482056723,36,5,250,54
304,1.177274896,5.646217821,441,0.517994585,5.313869234,41,5,417,71
305,6.135405842,8.209250359,291,0.78684941,1.938056805,120,3,972,243
306,5.410701325,8.510915797,135,0.565005948,5.229750871,75,3,951,201
307,8.695534861,4.806955577,573,0.113370837,4.812050627,95,2,96,24
308,2.311347863,9.978765392,375,0.599109469,3.037464558,21,2,914,155
309,2.795029027,5.52922996,208,0.339290549,2.492622338,83,6,766,0
310,4.321839336,5.413571757,212,0.617566733,0.27868697,6,3,285,39
311,9.211249913,3.52391224,379,0.135327238,5.274377728,106,1,530,33
312,7.009523248,5.683635076,308,0.979877392,6.440764202,23,4,816,59
313,5.858160599,9.135958343,591,0.443624283,0.377844767,16,5,487,66
314,0.701984818,1.615994837,122,0.301778741,3.680473247,13,4,326,50
315,6.853232166,7.824293915,112,0.538040757,4.523304048,62,5,667,63
316,4.542265283,4.205533417,175,0.915256577,2.729292235,37,2,376,0
317,7.56045334,7.968761126,338,0.495037017,3.621354704,74,4,320,80
318,6.374088197,5.430990883,215,0.746678264,5.510769062,106,2,736,38
319,8.99041598,1.3815915,423,0.357115372,2.590739187,15,7,242,53
320,0.150336843,7.369186636,389,0.111763029,3.052139691,78,5,575,52
321,8.316161459,7.404347386,90,0.418313354,7.769556803,65,4,641,0
322,8.857005184,7.759698373,442,0.41676468,0.907040506,34,2,491,48
323,2.018554207,0.507482345,128,0.160137513,6.863476075,32,6,168,42
324,9.482122257,9.704527286,279,0.303047431,2.209178722,35,7,590,88
325,8.688366442,1.798038624,262,0.756329748,2.250424553,73,8,857,90
326,9.691322158,1.848656798,576,0.575269631,5.548189517,29,3,222,0
327,4.660596701,3.040858528,382,0.49071227,7.864087987,97,4,292,21
328,3.841704204,0.727984697,269,0.461351189,4.943059712,13,4,127,26
329,8.156697314,6.576315054,592,0.628023105,2.874927378,36,6,97,13
330,8.753198085,1.583004922,119,0.231804424,2.024075818,26,2,253,34
331,5.278562247,7.947713917,372,0.782138811,0.518724717,15,3,585,48
332,8.353560854,9.18787172,170,0.70591826,1.118013877,46,5,108,7
333,4.195425305,7.789815532,296,0.513714857,7.857855809,87,4,520,51
334,1.660040275,8.576720054,333,0.951621017,5.355791512,49,5,861,0
335,9.044043894,8.153692777,297,0.272498327,0.893646551,38,5,882,0
336,2.868110594,5.821349093,318,0.007347675,4.728878527,41,3,821,146
337,7.981346426,5.641202473,288,0.772093589,7.623326563,71,7,484,0
338,7.876843958,2.935156009,424,0.814616241,7.813922733,54,3,55,0
339,8.986994987,9.34224413,396,0.508049191,4.644854797,110,1,248,50
340,3.74624905,3.228446186,264,0.001011371,5.853319211,113,7,565,0
341,6.966481638,8.641974946,210,0.608234381,2.538204211,70,7,891,71
342,0.506920526,9.212300153,238,0.138368473,2.28478483,89,4,287,29
343,5.374545605,3.559707467,422,0.857772185,3.71178063,111,1,112,5
344,3.219418439,5.355973093,557,0.531290948,7.948133676,6,8,914,186
345,8.076168508,3.082072532,517,0.341660119,3.276156821,59,8,60,12
346,5.202863201,1.832087028,559,0.597626616,3.794927202,123,5,808,178
347,9.199064281,5.928477565,524,0.458653343,2.229805534,9,3,68,5
348,9.159407256,4.787650262,302,0.725776799,5.246895001,18,4,600,0
349,1.952977428,6.474749439,427,0.880916523,3.305932597,69,2,647,128
350,0.829174126,2.789342099,75,0.496446464,7.742087836,56,6,498,30
351,2.337383673,9.691149136,581,0.893752425,0.324614849,12,5,234,0
352,5.796152372,0.5962511,542,0.438356239,7.198418673,43,5,384,96
353,7.058788129,8.443638143,452,0.528656031,6.580999835,35,6,930,104
354,6.793380174,2.8917136,129,0.90412597,5.035511374,54,7,509,94
355,9.089954426,9.824491325,495,0.369423363,1.548977043,94,3,219,34
356,3.81471654,5.764629423,512,0.927691393,3.552557183,81,7,225,45
357,8.476820875,3.496061082,454,0.209874858,4.867302946,9,7,608,34
358,2.286113777,6.314300564,216,0.763126021,0.92884016,60,3,795,115
359,4.599307423,6.407647476,101,0.811512665,4.414820125,5,6,452,0
360,0.691779961,3.111501329,481,0.765671493,2.045945532,40,3,983,0
361,4.517414641,6.365453275,450,0.663631057,5.149360817,77,2,189,16
362,1.694443044,8.693767091,502,0.079458159,2.913566105,99,5,185,39
363,4.128006732,7.614588398,187,0.860607767,1.648033476,34,8,405,60
364,8.598884456,4.496559465,137,0.544080638,5.324781181,117,3,614,28
365,1.060627321,7.6530395,95,0.611789485,6.284698077,69,6,835,165
366,3.473153128,3.275356163,165,0.077819656,5.40276539,38,2,138,8
367,4.941357755,2.219267322,498,0.567006041,6.55107205,35,8,259,33
368,1.400268748,8.021211654,417,0.579876229,2.698604726,102,7,726,39
369,9.235036103,1.731190549,335,0.924247466,2.791615241,90,2,304,62
370,1.717115588,8.000610984,227,0.700134133,2.432096516,90,4,270,12
371,0.338705916,8.136336674,140,0.429514652,4.739316343,91,7,720,180
372,6.287088742,2.310865249,464,0.147684797,4.344410577,104,4,428,75
373,7.020093751,6.001392943,345,0.069767801,6.567224145,88,8,764,191
374,4.822683939,9.570776733,229,0.948056347,6.423483196,60,4,974,80
375,6.145057909,8.937781266,314,0.929850437,4.543623349,40,4,332,83
376,8.843198139,5.386399439,203,0.849567221,0.436708842,74,7,115,24
377,6.51118698,1.987232101,235,0.096110941,7.698374503,119,4,812,203
378,0.858745365,3.3158818,298,0.546141516,1.457292364,3,7,612,122
379,1.832036208,1.686012167,360,0.355905255,5.372503567,78,3,690,0
380,5.958147251,7.536549259,89,0.105400975,5.915742413,2,2,900,225
381,8.4979568,0.489223072,460,0.806931243,0.495610041,123,2,265,0
382,1.44993206,5.340064103,446,0.865619878,6.477157524,103,5,282,21
383,7.42585971,7.852400869,575,0.18825352,5.302373305,52,4,301,16
384,2.38182037,4.845503604,239,0.842764428,3.372331745,31,7,903,61
385,5.150236208,2.146982946,88,0.090416305,1.285447127,78,6,908,121
