pair_id,design_id,operational_id,Hnode,Hlink,hashrate_concentration,validator_count,number_of_attackers,block_creation_interval,max_block_size,inbound_connections,outbound_connections
38,1,38,0.5,0.175,0.605,98,3,904,3.356166833,91,7
39,1,39,0.5825,0.35,0.2275,341,11,904,3.356166833,91,7
40,1,40,0.14,0.3125,0.0625,141,15,904,3.356166833,91,7
41,1,41,0.3825,0.2825,0.5825,845,114,904,3.356166833,91,7
42,1,42,0.4275,0.3575,0.425,170,32,904,3.356166833,91,7
43,1,43,0.135,0.05,0.3875,570,124,904,3.356166833,91,7
44,1,44,0.085,0.33,0.0925,382,68,904,3.356166833,91,7
45,1,45,0.5475,0.0825,0.325,479,99,904,3.356166833,91,7
46,1,46,0.2225,0.11,0.07,629,145,904,3.356166833,91,7
47,1,47,0.29,0.16,0.785,446,84,904,3.356166833,91,7
48,1,48,0.56,0.125,0.4175,793,67,904,3.356166833,91,7
49,1,49,0.515,0.0725,0.7625,755,126,904,3.356166833,91,7
50,1,50,0.46,0.22,0.055,815,60,904,3.356166833,91,7
51,1,51,0.2325,0.1325,0.395,974,69,904,3.356166833,91,7
52,1,52,0.4775,0.115,0.515,265,23,904,3.356166833,91,7
53,1,53,0.57,0.0625,0.4775,956,122,904,3.356166833,91,7
54,1,54,0.1725,0.3775,0.175,562,127,904,3.356166833,91,7
55,1,55,0.2825,0.1075,0.5675,702,95,904,3.356166833,91,7
56,1,56,0.5875,0.14,0.205,192,29,904,3.356166833,91,7
57,1,57,0.25,0.3175,0.28,803,27,904,3.356166833,91,7
58,1,58,0.5975,0.17,0.575,642,111,904,3.356166833,91,7
59,1,59,0.1775,0.18,0.695,465,65,904,3.356166833,91,7
60,1,60,0.35,0.27,0.085,539,52,904,3.356166833,91,7
61,1,61,0.36,0.39,0.7475,237,48,904,3.356166833,91,7
62,1,62,0.4825,0.2225,0.7175,970,222,904,3.356166833,91,7
63,1,63,0.0525,0.1225,0.5975,500,30,904,3.356166833,91,7
64,1,64,0.3725,0.1575,0.0775,388,24,904,3.356166833,91,7
65,1,65,0.0675,0.245,0.755,123,18,904,3.356166833,91,7
66,1,66,0.19,0.145,0.5,772,152,904,3.356166833,91,7
67,1,67,0.5325,0.195,0.4925,515,123,904,3.356166833,91,7
68,1,68,0.09,0.265,0.1225,731,2,904,3.356166833,91,7
69,1,69,0.565,0.3225,0.6425,407,91,904,3.356166833,91,7
70,1,70,0.245,0.205,0.265,451,70,904,3.356166833,91,7
71,1,71,0.3325,0.2875,0.7925,313,29,904,3.356166833,91,7
72,1,72,0.405,0.3675,0.5075,503,4,904,3.356166833,91,7
73,1,73,0.1675,0.3425,0.41,682,54,904,3.356166833,91,7
74,1,74,0.1275,0.2025,0.7325,785,82,904,3.356166833,91,7
75,1,75,0.52,0.2975,0.2425,989,64,904,3.356166833,91,7
76,1,76,0.0575,0.305,0.31,932,196,904,3.356166833,91,7
77,1,77,0.3275,0.315,0.545,719,123,904,3.356166833,91,7
78,1,78,0.4925,0.24,0.1075,426,55,904,3.356166833,91,7
79,1,79,0.2,0.325,0.77,871,17,904,3.356166833,91,7
80,1,80,0.3675,0.1,0.2875,159,16,904,3.356166833,91,7
81,1,81,0.4325,0.1425,0.74,904,10,904,3.356166833,91,7
82,1,82,0.31,0.09,0.3025,740,84,904,3.356166833,91,7
83,1,83,0.465,0.2,0.355,241,41,904,3.356166833,91,7
84,1,84,0.1175,0.375,0.485,292,20,904,3.356166833,91,7
85,1,85,0.5425,0.2475,0.295,462,8,904,3.356166833,91,7
86,1,86,0.3875,0.1175,0.1525,417,48,904,3.356166833,91,7
87,1,87,0.1575,0.085,0.71,253,25,904,3.356166833,91,7
88,1,88,0.08,0.135,0.5525,922,173,904,3.356166833,91,7
89,1,89,0.555,0.255,0.38,885,171,904,3.356166833,91,7
90,1,90,0.505,0.3375,0.7025,179,14,904,3.356166833,91,7
91,1,91,0.4725,0.3925,0.115,578,28,904,3.356166833,91,7
92,1,92,0.1,0.3,0.6725,396,16,904,3.356166833,91,7
93,1,93,0.3,0.185,0.5225,944,43,904,3.356166833,91,7
94,1,94,0.415,0.1275,0.6575,149,35,904,3.356166833,91,7
95,1,95,0.5925,0.365,0.7775,604,87,904,3.356166833,91,7
96,1,96,0.0625,0.29,0.365,598,76,904,3.356166833,91,7
97,1,97,0.4375,0.055,0.4625,357,40,904,3.356166833,91,7
98,1,98,0.095,0.1675,0.2125,655,53,904,3.356166833,91,7
99,1,99,0.2775,0.3725,0.16,954,154,904,3.356166833,91,7
100,1,100,0.205,0.0575,0.1675,211,9,904,3.356166833,91,7
101,2,1,0.3075,0.065,0.22,224,26,1077,5.161284926,36,6
102,2,2,0.4475,0.2325,0.7025,920,195,1077,5.161284926,36,6
103,2,3,0.3925,0.07,0.4175,128,31,1077,5.161284926,36,6
104,2,4,0.53,0.1575,0.77,574,56,1077,5.161284926,36,6
105,2,5,0.1375,0.3525,0.5375,300,21,1077,5.161284926,36,6
106,2,6,0.595,0.2175,0.56,73,17,1077,5.161284926,36,6
107,2,7,0.475,0.335,0.68,817,46,1077,5.161284926,36,6
108,2,8,0.065,0.1,0.355,156,24,1077,5.161284926,36,6
109,2,9,0.0825,0.3925,0.0775,484,46,1077,5.161284926,36,6
110,2,10,0.115,0.3625,0.295,907,97,1077,5.161284926,36,6
111,2,11,0.4625,0.1125,0.62,998,66,1077,5.161284926,36,6
112,2,12,0.54,0.3575,0.1675,637,152,1077,5.161284926,36,6
113,2,13,0.3525,0.34,0.695,85,13,1077,5.161284926,36,6
114,2,14,0.4575,0.37,0.2725,48,9,1077,5.161284926,36,6
115,2,15,0.12,0.1375,0.1825,324,73,1077,5.161284926,36,6
116,2,16,0.1875,0.1175,0.4625,618,69,1077,5.161284926,36,6
117,2,17,0.5175,0.0725,0.13,709,164,1077,5.161284926,36,6
118,2,18,0.4075,0.1825,0.2125,288,60,1077,5.161284926,36,6
119,2,19,0.3975,0.3825,0.44,332,54,1077,5.161284926,36,6
120,2,20,0.105,0.1925,0.785,509,43,1077,5.161284926,36,6
121,2,21,0.05,0.27,0.28,449,98,1077,5.161284926,36,6
122,2,22,0.535,0.39,0.175,752,35,1077,5.161284926,36,6
123,2,23,0.17,0.06,0.7325,875,121,1077,5.161284926,36,6
124,2,24,0.5025,0.155,0.4775,459,79,1077,5.161284926,36,6
125,2,25,0.44,0.2675,0.235,928,18,1077,5.161284926,36,6
126,2,26,0.4125,0.235,0.1525,494,7,1077,5.161284926,36,6
127,2,27,0.485,0.275,0.4475,110,10,1077,5.161284926,36,6
128,2,28,0.43,0.08,0.38,525,58,1077,5.161284926,36,6
129,2,29,0.0775,0.245,0.5525,829,194,1077,5.161284926,36,6
130,2,30,0.175,0.22,0.3875,116,4,1077,5.161284926,36,6
131,2,31,0.2525,0.3725,0.41,715,35,1077,5.161284926,36,6
132,2,32,0.4525,0.175,0.395,956,127,1077,5.161284926,36,6
133,2,33,0.3475,0.305,0.205,966,98,1077,5.161284926,36,6
134,2,34,0.525,0.2625,0.3475,233,14,1077,5.161284926,36,6
135,2,35,0.26,0.26,0.6275,375,45,1077,5.161284926,36,6
136,2,36,0.165,0.33,0.3725,344,8,1077,5.161284926,36,6
137,2,37,0.055,0.185,0.6125,735,17,1077,5.161284926,36,6
138,2,38,0.2425,0.1725,0.2575,659,49,1077,5.161284926,36,6
139,2,39,0.48,0.0525,0.085,257,46,1077,5.161284926,36,6
140,2,40,0.2975,0.25,0.0625,728,160,1077,5.161284926,36,6
141,2,41,0.3575,0.21,0.5975,265,21,1077,5.161284926,36,6
142,2,42,0.225,0.1325,0.5675,175,35,1077,5.161284926,36,6
143,2,43,0.1925,0.365,0.7175,218,52,1077,5.161284926,36,6
144,2,44,0.1325,0.28,0.665,762,126,1077,5.161284926,36,6
145,2,45,0.5625,0.355,0.575,846,149,1077,5.161284926,36,6
146,2,46,0.2375,0.3025,0.485,152,22,1077,5.161284926,36,6
147,2,47,0.1425,0.255,0.1375,245,45,1077,5.161284926,36,6
148,2,48,0.435,0.16,0.5225,279,11,1077,5.161284926,36,6
149,2,49,0.58,0.2,0.5075,853,105,1077,5.161284926,36,6
150,2,50,0.335,0.3375,0.07,634,102,1077,5.161284926,36,6
151,2,51,0.3025,0.2375,0.3625,804,137,1077,5.161284926,36,6
152,2,52,0.275,0.2775,0.145,597,27,1077,5.161284926,36,6
153,2,53,0.32,0.0875,0.6575,985,179,1077,5.161284926,36,6
154,2,54,0.1825,0.0775,0.1975,361,13,1077,5.161284926,36,6
155,2,55,0.11,0.215,0.5,552,75,1077,5.161284926,36,6
156,2,56,0.585,0.345,0.3025,410,31,1077,5.161284926,36,6
157,2,57,0.16,0.125,0.605,645,127,1077,5.161284926,36,6
158,2,58,0.1475,0.2525,0.3325,894,62,1077,5.161284926,36,6
159,2,59,0.28,0.1775,0.6875,44,4,1077,5.161284926,36,6
160,2,60,0.265,0.3275,0.455,978,239,1077,5.161284926,36,6
161,2,61,0.2325,0.1075,0.3175,501,84,1077,5.161284926,36,6
162,2,62,0.4025,0.285,0.515,748,65,1077,5.161284926,36,6
163,2,63,0.0925,0.095,0.265,869,44,1077,5.161284926,36,6
164,2,64,0.59,0.13,0.325,787,113,1077,5.161284926,36,6
165,2,65,0.33,0.2875,0.7475,534,127,1077,5.161284926,36,6
166,2,66,0.5125,0.2925,0.5825,565,1,1077,5.161284926,36,6
167,2,67,0.155,0.3225,0.4325,384,75,1077,5.161284926,36,6
168,2,68,0.0875,0.165,0.74,139,29,1077,5.161284926,36,6
169,2,69,0.06,0.38,0.6725,671,85,1077,5.161284926,36,6
170,2,70,0.22,0.115,0.0925,821,29,1077,5.161284926,36,6
171,2,71,0.5075,0.19,0.1075,164,15,1077,5.161284926,36,6
172,2,72,0.325,0.15,0.1225,415,24,1077,5.161284926,36,6
173,2,73,0.215,0.295,0.115,83,11,1077,5.161284926,36,6
174,2,74,0.38,0.105,0.71,59,3,1077,5.161284926,36,6
175,2,75,0.4975,0.3875,0.31,273,35,1077,5.161284926,36,6
176,2,76,0.5575,0.1225,0.25,184,3,1077,5.161284926,36,6
177,2,77,0.1275,0.0625,0.545,347,22,1077,5.161284926,36,6
178,2,78,0.2475,0.225,0.755,208,24,1077,5.161284926,36,6
179,2,79,0.0975,0.1675,0.1,938,146,1077,5.161284926,36,6
180,2,80,0.07,0.315,0.16,102,0,1077,5.161284926,36,6
181,2,81,0.365,0.2975,0.7625,428,17,1077,5.161284926,36,6
182,2,82,0.545,0.2425,0.7775,308,63,1077,5.161284926,36,6
183,2,83,0.425,0.1425,0.8,695,103,1077,5.161284926,36,6
184,2,84,0.49,0.0975,0.635,435,98,1077,5.161284926,36,6
185,2,85,0.2875,0.14,0.53,466,4,1077,5.161284926,36,6
186,2,86,0.315,0.375,0.6425,193,5,1077,5.161284926,36,6
187,2,87,0.2025,0.32,0.7925,948,5,1077,5.161284926,36,6
188,2,88,0.5525,0.2275,0.055,584,61,1077,5.161284926,36,6
189,2,89,0.21,0.09,0.4025,587,126,1077,5.161284926,36,6
190,2,90,0.37,0.2025,0.425,685,9,1077,5.161284926,36,6
191,2,91,0.27,0.3475,0.2275,539,117,1077,5.161284926,36,6
192,2,92,0.42,0.4,0.59,473,56,1077,5.161284926,36,6
193,2,93,0.5675,0.3125,0.65,367,58,1077,5.161284926,36,6
194,2,94,0.47,0.31,0.34,679,127,1077,5.161284926,36,6
195,2,95,0.575,0.0825,0.725,608,17,1077,5.161284926,36,6
196,2,96,0.385,0.2075,0.19,899,169,1077,5.161284926,36,6
197,2,97,0.375,0.1475,0.2875,797,199,1077,5.161284926,36,6
198,2,98,0.2925,0.055,0.47,776,63,1077,5.161284926,36,6
199,2,99,0.1975,0.3975,0.4925,860,173,1077,5.161284926,36,6
200,2,100,0.3425,0.1975,0.2425,401,59,1077,5.161284926,36,6
201,3,1,0.13,0.3775,0.2675,156,28,1030,7.28226396,60,5
202,3,2,0.1575,0.095,0.0575,547,54,1030,7.28226396,60,5
203,3,3,0.2,0.32,0.7125,119,26,1030,7.28226396,60,5
204,3,4,0.14,0.23,0.365,372,27,1030,7.28226396,60,5
205,3,5,0.1025,0.1625,0.1325,355,57,1030,7.28226396,60,5
206,3,6,0.57,0.075,0.4775,763,76,1030,7.28226396,60,5
207,3,7,0.3275,0.07,0.7425,741,49,1030,7.28226396,60,5
208,3,8,0.2175,0.1725,0.0875,973,133,1030,7.28226396,60,5
209,3,9,0.3875,0.3075,0.2525,137,11,1030,7.28226396,60,5
210,3,10,0.145,0.33,0.2375,814,95,1030,7.28226396,60,5
211,3,11,0.2125,0.2,0.765,812,74,1030,7.28226396,60,5
212,3,12,0.4925,0.325,0.3575,412,87,1030,7.28226396,60,5
213,3,13,0.0675,0.1575,0.645,728,8,1030,7.28226396,60,5
214,3,14,0.505,0.06,0.305,599,110,1030,7.28226396,60,5
215,3,15,0.1125,0.3425,0.44,555,53,1030,7.28226396,60,5
216,3,16,0.2725,0.2825,0.4025,920,66,1030,7.28226396,60,5
217,3,17,0.5225,0.11,0.32,786,5,1030,7.28226396,60,5
218,3,18,0.3225,0.0525,0.26,195,25,1030,7.28226396,60,5
219,3,19,0.45,0.08,0.56,299,12,1030,7.28226396,60,5
220,3,20,0.5275,0.1125,0.1775,368,72,1030,7.28226396,60,5
221,3,21,0.25,0.1525,0.7875,389,88,1030,7.28226396,60,5
222,3,22,0.0525,0.3175,0.1925,406,7,1030,7.28226396,60,5
223,3,23,0.195,0.38,0.4475,324,77,1030,7.28226396,60,5
224,3,24,0.2225,0.29,0.08,720,9,1030,7.28226396,60,5
225,3,25,0.5825,0.2175,0.1625,963,25,1030,7.28226396,60,5
226,3,26,0.3775,0.1475,0.6825,940,229,1030,7.28226396,60,5
227,3,27,0.2075,0.165,0.425,509,26,1030,7.28226396,60,5
228,3,28,0.3825,0.2675,0.5675,702,115,1030,7.28226396,60,5
229,3,29,0.15,0.145,0.47,101,8,1030,7.28226396,60,5
230,3,30,0.4225,0.175,0.2075,826,154,1030,7.28226396,60,5
231,3,31,0.34,0.1975,0.11,620,144,1030,7.28226396,60,5
232,3,32,0.395,0.155,0.065,489,22,1030,7.28226396,60,5
233,3,33,0.2775,0.285,0.1475,467,88,1030,7.28226396,60,5
234,3,34,0.445,0.115,0.4325,833,122,1030,7.28226396,60,5
235,3,35,0.51,0.215,0.63,888,44,1030,7.28226396,60,5
236,3,36,0.46,0.3875,0.6525,444,39,1030,7.28226396,60,5
237,3,37,0.19,0.0925,0.59,477,9,1030,7.28226396,60,5
238,3,38,0.135,0.275,0.6075,987,138,1030,7.28226396,60,5
239,3,39,0.2625,0.105,0.6225,219,54,1030,7.28226396,60,5
240,3,40,0.565,0.2925,0.7275,901,176,1030,7.28226396,60,5
241,3,41,0.41,0.25,0.2,331,23,1030,7.28226396,60,5
242,3,42,0.295,0.1225,0.38,529,80,1030,7.28226396,60,5
243,3,43,0.29,0.0775,0.155,853,46,1030,7.28226396,60,5
244,3,44,0.5875,0.1025,0.545,646,145,1030,7.28226396,60,5
245,3,45,0.5775,0.345,0.23,612,36,1030,7.28226396,60,5
246,3,46,0.515,0.335,0.1175,655,143,1030,7.28226396,60,5
247,3,47,0.345,0.26,0.455,495,87,1030,7.28226396,60,5
248,3,48,0.1225,0.0675,0.4925,869,158,1030,7.28226396,60,5
249,3,49,0.5375,0.14,0.14,352,33,1030,7.28226396,60,5
250,3,50,0.5,0.3725,0.095,842,135,1030,7.28226396,60,5
251,3,51,0.3125,0.3525,0.615,930,97,1030,7.28226396,60,5
252,3,52,0.4,0.17,0.72,534,110,1030,7.28226396,60,5
253,3,53,0.4725,0.31,0.35,953,112,1030,7.28226396,60,5
254,3,54,0.075,0.1275,0.7575,627,80,1030,7.28226396,60,5
255,3,55,0.185,0.2775,0.2225,747,79,1030,7.28226396,60,5
256,3,56,0.455,0.085,0.6975,110,19,1030,7.28226396,60,5
257,3,57,0.5325,0.385,0.6,85,5,1030,7.28226396,60,5
258,3,58,0.1625,0.13,0.3125,916,41,1030,7.28226396,60,5
259,3,59,0.2675,0.3,0.705,635,14,1030,7.28226396,60,5
260,3,60,0.24,0.3675,0.395,224,5,1030,7.28226396,60,5
261,3,61,0.08,0.265,0.3275,431,37,1030,7.28226396,60,5
262,3,62,0.405,0.37,0.53,995,28,1030,7.28226396,60,5
263,3,63,0.0625,0.1825,0.675,134,17,1030,7.28226396,60,5
264,3,64,0.1175,0.36,0.5525,675,150,1030,7.28226396,60,5
265,3,65,0.3325,0.3125,0.575,584,91,1030,7.28226396,60,5
266,3,66,0.3725,0.0625,0.125,93,1,1030,7.28226396,60,5
267,3,67,0.2275,0.2125,0.5825,270,47,1030,7.28226396,60,5
268,3,68,0.56,0.225,0.5225,188,28,1030,7.28226396,60,5
269,3,69,0.55,0.12,0.7725,242,19,1030,7.28226396,60,5
270,3,70,0.4275,0.2575,0.3425,171,35,1030,7.28226396,60,5
271,3,71,0.35,0.39,0.29,596,33,1030,7.28226396,60,5
272,3,72,0.4775,0.2075,0.275,231,9,1030,7.28226396,60,5
273,3,73,0.3675,0.35,0.2975,885,213,1030,7.28226396,60,5
274,3,74,0.3175,0.3275,0.515,208,1,1030,7.28226396,60,5
275,3,75,0.245,0.0975,0.2825,668,111,1030,7.28226396,60,5
276,3,76,0.285,0.3625,0.0725,280,40,1030,7.28226396,60,5
277,3,77,0.09,0.0875,0.245,966,207,1030,7.28226396,60,5
278,3,78,0.0575,0.05,0.41,449,89,1030,7.28226396,60,5
279,3,79,0.1725,0.2475,0.5375,681,23,1030,7.28226396,60,5
280,3,80,0.4375,0.205,0.5075,777,181,1030,7.28226396,60,5
281,3,81,0.235,0.18,0.335,147,4,1030,7.28226396,60,5
282,3,82,0.1075,0.3375,0.735,334,14,1030,7.28226396,60,5
283,3,83,0.18,0.3975,0.78,794,136,1030,7.28226396,60,5
284,3,84,0.5425,0.295,0.5,397,98,1030,7.28226396,60,5
285,3,85,0.1675,0.24,0.1025,79,18,1030,7.28226396,60,5
286,3,86,0.255,0.2225,0.3725,716,144,1030,7.28226396,60,5
287,3,87,0.085,0.235,0.17,768,160,1030,7.28226396,60,5
288,3,88,0.4825,0.2725,0.05,181,23,1030,7.28226396,60,5
289,3,89,0.5975,0.1875,0.3875,65,9,1030,7.28226396,60,5
290,3,90,0.355,0.055,0.6375,313,35,1030,7.28226396,60,5
291,3,91,0.36,0.3025,0.66,426,60,1030,7.28226396,60,5
292,3,92,0.5925,0.2525,0.69,513,79,1030,7.28226396,60,5
293,3,93,0.3,0.1925,0.6675,870,70,1030,7.28226396,60,5
294,3,94,0.305,0.1375,0.215,262,62,1030,7.28226396,60,5
295,3,95,0.4175,0.395,0.185,562,61,1030,7.28226396,60,5
296,3,96,0.465,0.135,0.4625,693,84,1030,7.28226396,60,5
297,3,97,0.095,0.2425,0.485,254,28,1030,7.28226396,60,5
298,3,98,0.555,0.19,0.4175,457,29,1030,7.28226396,60,5
299,3,99,0.4875,0.2325,0.795,571,0,1030,7.28226396,60,5
300,3,100,0.4325,0.355,0.75,287,55,1030,7.28226396,60,5
301,4,1,0.1125,0.19,0.5375,267,63,279,0.419831509,86,6
302,4,2,0.555,0.2525,0.4675,350,55,279,0.419831509,86,6
303,4,3,0.465,0.1475,0.3925,865,92,279,0.419831509,86,6
304,4,4,0.3,0.1575,0.5,434,74,279,0.419831509,86,6
305,4,5,0.4725,0.32,0.0925,189,8,279,0.419831509,86,6
306,4,6,0.1575,0.075,0.445,424,82,279,0.419831509,86,6
307,4,7,0.3225,0.25,0.4075,243,46,279,0.419831509,86,6
308,4,8,0.565,0.3075,0.6875,690,39,279,0.419831509,86,6
309,4,9,0.46,0.08,0.34,105,24,279,0.419831509,86,6
310,4,10,0.52,0.24,0.1075,819,17,279,0.419831509,86,6
311,4,11,0.1625,0.2,0.265,830,163,279,0.419831509,86,6
312,4,12,0.55,0.175,0.085,411,90,279,0.419831509,86,6
313,4,13,0.15,0.3625,0.665,162,4,279,0.419831509,86,6
314,4,14,0.08,0.2775,0.7025,956,160,279,0.419831509,86,6
315,4,15,0.1175,0.3,0.31,88,13,279,0.419831509,86,6
316,4,16,0.3775,0.2425,0.68,227,33,279,0.419831509,86,6
317,4,17,0.415,0.0675,0.605,912,64,279,0.419831509,86,6
318,4,18,0.2725,0.0575,0.785,174,26,279,0.419831509,86,6
319,4,19,0.4875,0.0625,0.235,479,116,279,0.419831509,86,6
320,4,20,0.25,0.2925,0.16,211,51,279,0.419831509,86,6
321,4,21,0.4775,0.2475,0.7925,676,3,279,0.419831509,86,6
322,4,22,0.51,0.3875,0.1975,881,163,279,0.419831509,86,6
323,4,23,0.185,0.18,0.2275,498,80,279,0.419831509,86,6
324,4,24,0.135,0.12,0.19,902,68,279,0.419831509,86,6
325,4,25,0.34,0.35,0.3325,458,17,279,0.419831509,86,6
326,4,26,0.0625,0.2175,0.0775,446,61,279,0.419831509,86,6
327,4,27,0.45,0.215,0.74,285,57,279,0.419831509,86,6
328,4,28,0.5925,0.1125,0.6575,807,143,279,0.419831509,86,6
329,4,29,0.0525,0.1525,0.37,401,1,279,0.419831509,86,6
330,4,30,0.505,0.115,0.6275,257,20,279,0.419831509,86,6
331,4,31,0.56,0.095,0.3775,757,101,279,0.419831509,86,6
332,4,32,0.35,0.26,0.07,294,10,279,0.419831509,86,6
333,4,33,0.3325,0.3425,0.62,645,160,279,0.419831509,86,6
334,4,34,0.2275,0.165,0.695,440,24,279,0.419831509,86,6
335,4,35,0.2,0.325,0.635,555,72,279,0.419831509,86,6
336,4,36,0.245,0.2075,0.5225,773,11,279,0.419831509,86,6
337,4,37,0.5275,0.345,0.2725,221,22,279,0.419831509,86,6
338,4,38,0.57,0.135,0.115,298,18,279,0.419831509,86,6
339,4,39,0.3875,0.3725,0.3025,340,38,279,0.419831509,86,6
340,4,40,0.5325,0.3375,0.5975,148,32,279,0.419831509,86,6
341,4,41,0.1075,0.355,0.7775,810,71,279,0.419831509,86,6
342,4,42,0.1675,0.155,0.1525,138,17,279,0.419831509,86,6
343,4,43,0.24,0.0775,0.1,749,123,279,0.419831509,86,6
344,4,44,0.085,0.335,0.1225,314,57,279,0.419831509,86,6
345,4,45,0.0675,0.2325,0.2875,630,44,279,0.419831509,86,6
346,4,46,0.395,0.14,0.145,610,130,279,0.419831509,86,6
347,4,47,0.4375,0.39,0.77,359,23,279,0.419831509,86,6
348,4,48,0.515,0.06,0.4775,552,25,279,0.419831509,86,6
349,4,49,0.1775,0.23,0.755,125,15,279,0.419831509,86,6
350,4,50,0.14,0.295,0.4925,851,42,279,0.419831509,86,6
351,4,51,0.3125,0.1825,0.325,700,43,279,0.419831509,86,6
352,4,52,0.445,0.3525,0.53,483,68,279,0.419831509,86,6
353,4,53,0.0725,0.3975,0.415,198,35,279,0.419831509,86,6
354,4,54,0.2825,0.3175,0.355,529,120,279,0.419831509,86,6
355,4,55,0.2175,0.37,0.295,936,188,279,0.419831509,86,6
356,4,56,0.345,0.1725,0.545,332,31,279,0.419831509,86,6
357,4,57,0.295,0.33,0.43,625,65,279,0.419831509,86,6
358,4,58,0.095,0.285,0.65,495,39,279,0.419831509,86,6
359,4,59,0.4225,0.225,0.1675,596,102,279,0.419831509,86,6
360,4,60,0.2075,0.2575,0.5825,924,108,279,0.419831509,86,6
361,4,61,0.5,0.275,0.515,766,178,279,0.419831509,86,6
362,4,62,0.5875,0.3025,0.7325,464,72,279,0.419831509,86,6
363,4,63,0.3175,0.265,0.2575,543,22,279,0.419831509,86,6
364,4,64,0.195,0.1625,0.7175,640,140,279,0.419831509,86,6
365,4,65,0.09,0.0975,0.8,573,56,279,0.419831509,86,6
366,4,66,0.255,0.2675,0.13,794,80,279,0.419831509,86,6
367,4,67,0.2125,0.38,0.2125,507,3,279,0.419831509,86,6
368,4,68,0.29,0.2225,0.485,107,9,279,0.419831509,86,6
369,4,69,0.3275,0.0525,0.71,783,90,279,0.419831509,86,6
370,4,70,0.145,0.3125,0.055,669,158,279,0.419831509,86,6
371,4,71,0.4325,0.17,0.2425,976,25,279,0.419831509,86,6
372,4,72,0.3725,0.385,0.725,368,88,279,0.419831509,86,6
373,4,73,0.1025,0.07,0.175,683,12,279,0.419831509,86,6
374,4,74,0.5375,0.1925,0.7625,965,184,279,0.419831509,86,6
375,4,75,0.305,0.0925,0.0625,983,136,279,0.419831509,86,6
376,4,76,0.3825,0.3275,0.6125,897,11,279,0.419831509,86,6
377,4,77,0.2675,0.05,0.28,234,16,279,0.419831509,86,6
378,4,78,0.0575,0.11,0.4225,884,197,279,0.419831509,86,6
379,4,79,0.4,0.2825,0.25,856,130,279,0.419831509,86,6
380,4,80,0.455,0.31,0.4375,954,200,279,0.419831509,86,6
381,4,81,0.405,0.085,0.56,522,94,279,0.419831509,86,6
382,4,82,0.36,0.1225,0.22,156,29,279,0.419831509,86,6
383,4,83,0.1225,0.0875,0.59,382,15,279,0.419831509,86,6
384,4,84,0.2225,0.1375,0.6425,320,66,279,0.419831509,86,6
