design_id,overload_condition_id,source_operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,fraction_of_attackers,number_of_attackers,realized_fraction_of_attackers,number_of_attackers,transaction_arrival_rate
D002,S010,O071,3,167,1.576274442,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,19.82141514
D002,S011,O005,3,167,1.576274442,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,19.82141514
D002,S012,O094,3,167,1.576274442,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,19.82141514
D002,S013,O049,3,167,1.576274442,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,19.82141514
D002,S014,O002,3,167,1.576274442,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,19.82141514
D002,S015,O009,3,167,1.576274442,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,19.82141514
D002,S016,O096,3,167,1.576274442,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,19.82141514
D002,S017,O067,3,167,1.576274442,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,19.82141514
D002,S018,O037,3,167,1.576274442,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,19.82141514
D002,S019,O039,3,167,1.576274442,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,19.82141514
D002,S020,O029,3,167,1.576274442,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,19.82141514
D002,S021,O055,3,167,1.576274442,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,19.82141514
D002,S022,O075,3,167,1.576274442,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,19.82141514
D002,S023,O052,3,167,1.576274442,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,19.82141514
D002,S024,O020,3,167,1.576274442,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,19.82141514
D002,S025,O023,3,167,1.576274442,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,19.82141514
D002,S026,O069,3,167,1.576274442,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,19.82141514
D002,S027,O054,3,167,1.576274442,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,19.82141514
D002,S028,O063,3,167,1.576274442,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,19.82141514
D002,S029,O058,3,167,1.576274442,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,19.82141514
D002,S030,O042,3,167,1.576274442,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,19.82141514
D002,S031,O083,3,167,1.576274442,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,19.82141514
D002,S032,O086,3,167,1.576274442,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,19.82141514
D003,S001,O004,1,385,1.754386103,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,9.569378742
D003,S002,O061,1,385,1.754386103,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,9.569378742
D003,S003,O084,1,385,1.754386103,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,9.569378742
D003,S004,O040,1,385,1.754386103,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,9.569378742
D003,S005,O074,1,385,1.754386103,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,9.569378742
D003,S006,O014,1,385,1.754386103,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,9.569378742
D003,S007,O095,1,385,1.754386103,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,9.569378742
D003,S008,O008,1,385,1.754386103,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,9.569378742
D003,S009,O044,1,385,1.754386103,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,9.569378742
D003,S010,O071,1,385,1.754386103,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,9.569378742
D003,S011,O005,1,385,1.754386103,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,9.569378742
D003,S012,O094,1,385,1.754386103,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,9.569378742
D003,S013,O049,1,385,1.754386103,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,9.569378742
D003,S014,O002,1,385,1.754386103,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,9.569378742
D003,S015,O009,1,385,1.754386103,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,9.569378742
D003,S016,O096,1,385,1.754386103,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,9.569378742
D003,S017,O067,1,385,1.754386103,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,9.569378742
D003,S018,O037,1,385,1.754386103,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,9.569378742
D003,S019,O039,1,385,1.754386103,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,9.569378742
D003,S020,O029,1,385,1.754386103,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,9.569378742
D003,S021,O055,1,385,1.754386103,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,9.569378742
D003,S022,O075,1,385,1.754386103,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,9.569378742
D003,S023,O052,1,385,1.754386103,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,9.569378742
D003,S024,O020,1,385,1.754386103,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,9.569378742
D003,S025,O023,1,385,1.754386103,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,9.569378742
D003,S026,O069,1,385,1.754386103,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,9.569378742
D003,S027,O054,1,385,1.754386103,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,9.569378742
D003,S028,O063,1,385,1.754386103,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,9.569378742
D003,S029,O058,1,385,1.754386103,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,9.569378742
D003,S030,O042,1,385,1.754386103,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,9.569378742
D003,S031,O083,1,385,1.754386103,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,9.569378742
D003,S032,O086,1,385,1.754386103,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,9.569378742
D004,S001,O004,1,144,6.912052408,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,100.8007643
D004,S002,O061,1,144,6.912052408,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,100.8007643
D004,S003,O084,1,144,6.912052408,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,100.8007643
D004,S004,O040,1,144,6.912052408,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,100.8007643
D004,S005,O074,1,144,6.912052408,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,100.8007643
D004,S006,O014,1,144,6.912052408,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,100.8007643
D004,S007,O095,1,144,6.912052408,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,100.8007643
D004,S008,O008,1,144,6.912052408,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,100.8007643
D004,S009,O044,1,144,6.912052408,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,100.8007643
D004,S010,O071,1,144,6.912052408,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,100.8007643
D004,S011,O005,1,144,6.912052408,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,100.8007643
D004,S012,O094,1,144,6.912052408,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,100.8007643
D004,S013,O049,1,144,6.912052408,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,100.8007643
D004,S014,O002,1,144,6.912052408,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,100.8007643
D004,S015,O009,1,144,6.912052408,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,100.8007643
D004,S016,O096,1,144,6.912052408,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,100.8007643
D004,S017,O067,1,144,6.912052408,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,100.8007643
D004,S018,O037,1,144,6.912052408,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,100.8007643
D004,S019,O039,1,144,6.912052408,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,100.8007643
D004,S020,O029,1,144,6.912052408,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,100.8007643
D004,S021,O055,1,144,6.912052408,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,100.8007643
D004,S022,O075,1,144,6.912052408,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,100.8007643
D004,S023,O052,1,144,6.912052408,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,100.8007643
D004,S024,O020,1,144,6.912052408,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,100.8007643
D004,S025,O023,1,144,6.912052408,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,100.8007643
D004,S026,O069,1,144,6.912052408,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,100.8007643
D004,S027,O054,1,144,6.912052408,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,100.8007643
D004,S028,O063,1,144,6.912052408,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,100.8007643
D004,S029,O058,1,144,6.912052408,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,100.8007643
D004,S030,O042,1,144,6.912052408,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,100.8007643
D004,S031,O083,1,144,6.912052408,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,100.8007643
D004,S032,O086,1,144,6.912052408,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,100.8007643
D005,S001,O004,4,153,3.501333012,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,48.05751192
D005,S002,O061,4,153,3.501333012,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,48.05751192
D005,S003,O084,4,153,3.501333012,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,48.05751192
D005,S004,O040,4,153,3.501333012,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,48.05751192
D005,S005,O074,4,153,3.501333012,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,48.05751192
D005,S006,O014,4,153,3.501333012,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,48.05751192
D005,S007,O095,4,153,3.501333012,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,48.05751192
D005,S008,O008,4,153,3.501333012,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,48.05751192
D005,S009,O044,4,153,3.501333012,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,48.05751192
D005,S010,O071,4,153,3.501333012,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,48.05751192
D005,S011,O005,4,153,3.501333012,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,48.05751192
D005,S012,O094,4,153,3.501333012,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,48.05751192
D005,S013,O049,4,153,3.501333012,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,48.05751192
D005,S014,O002,4,153,3.501333012,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,48.05751192
D005,S015,O009,4,153,3.501333012,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,48.05751192
D005,S016,O096,4,153,3.501333012,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,48.05751192
D005,S017,O067,4,153,3.501333012,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,48.05751192
D005,S018,O037,4,153,3.501333012,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,48.05751192
D005,S019,O039,4,153,3.501333012,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,48.05751192
D005,S020,O029,4,153,3.501333012,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,48.05751192
D005,S021,O055,4,153,3.501333012,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,48.05751192
D005,S022,O075,4,153,3.501333012,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,48.05751192
D005,S023,O052,4,153,3.501333012,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,48.05751192
D005,S024,O020,4,153,3.501333012,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,48.05751192
D005,S025,O023,4,153,3.501333012,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,48.05751192
D005,S026,O069,4,153,3.501333012,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,48.05751192
D005,S027,O054,4,153,3.501333012,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,48.05751192
D005,S028,O063,4,153,3.501333012,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,48.05751192
D005,S029,O058,4,153,3.501333012,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,48.05751192
D005,S030,O042,4,153,3.501333012,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,48.05751192
D005,S031,O083,4,153,3.501333012,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,48.05751192
D005,S032,O086,4,153,3.501333012,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,48.05751192
D006,S001,O004,3,1163,0.340932792,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,0.615613813
D006,S002,O061,3,1163,0.340932792,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,0.615613813
D006,S003,O084,3,1163,0.340932792,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,0.615613813
D006,S004,O040,3,1163,0.340932792,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,0.615613813
D006,S005,O074,3,1163,0.340932792,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,0.615613813
D006,S006,O014,3,1163,0.340932792,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,0.615613813
D006,S007,O095,3,1163,0.340932792,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,0.615613813
D006,S008,O008,3,1163,0.340932792,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,0.615613813
D006,S009,O044,3,1163,0.340932792,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,0.615613813
D006,S010,O071,3,1163,0.340932792,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,0.615613813
D006,S011,O005,3,1163,0.340932792,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,0.615613813
D006,S012,O094,3,1163,0.340932792,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,0.615613813
D006,S013,O049,3,1163,0.340932792,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,0.615613813
D006,S014,O002,3,1163,0.340932792,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,0.615613813
D006,S015,O009,3,1163,0.340932792,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,0.615613813
D006,S016,O096,3,1163,0.340932792,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,0.615613813
D006,S017,O067,3,1163,0.340932792,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,0.615613813
D006,S018,O037,3,1163,0.340932792,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,0.615613813
D006,S019,O039,3,1163,0.340932792,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,0.615613813
D006,S020,O029,3,1163,0.340932792,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,0.615613813
D006,S021,O055,3,1163,0.340932792,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,0.615613813
D006,S022,O075,3,1163,0.340932792,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,0.615613813
D006,S023,O052,3,1163,0.340932792,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,0.615613813
D006,S024,O020,3,1163,0.340932792,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,0.615613813
D006,S025,O023,3,1163,0.340932792,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,0.615613813
D006,S026,O069,3,1163,0.340932792,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,0.615613813
D006,S027,O054,3,1163,0.340932792,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,0.615613813
D006,S028,O063,3,1163,0.340932792,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,0.615613813
D006,S029,O058,3,1163,0.340932792,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,0.615613813
D006,S030,O042,3,1163,0.340932792,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,0.615613813
D006,S031,O083,3,1163,0.340932792,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,0.615613813
D006,S032,O086,3,1163,0.340932792,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,0.615613813
D007,S001,O004,7,868,1.337057934,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,3.234817583
D007,S002,O061,7,868,1.337057934,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,3.234817583
D007,S003,O084,7,868,1.337057934,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,3.234817583
D007,S004,O040,7,868,1.337057934,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,3.234817583
D007,S005,O074,7,868,1.337057934,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,3.234817583
D007,S006,O014,7,868,1.337057934,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,3.234817583
D007,S007,O095,7,868,1.337057934,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,3.234817583
D007,S008,O008,7,868,1.337057934,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,3.234817583
D007,S009,O044,7,868,1.337057934,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,3.234817583
D007,S010,O071,7,868,1.337057934,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,3.234817583
D007,S011,O005,7,868,1.337057934,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,3.234817583
D007,S012,O094,7,868,1.337057934,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,3.234817583
D007,S013,O049,7,868,1.337057934,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,3.234817583
D007,S014,O002,7,868,1.337057934,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,3.234817583
D007,S015,O009,7,868,1.337057934,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,3.234817583
D007,S016,O096,7,868,1.337057934,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,3.234817583
D007,S017,O067,7,868,1.337057934,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,3.234817583
D007,S018,O037,7,868,1.337057934,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,3.234817583
D007,S019,O039,7,868,1.337057934,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,3.234817583
D007,S020,O029,7,868,1.337057934,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,3.234817583
D007,S021,O055,7,868,1.337057934,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,3.234817583
D007,S022,O075,7,868,1.337057934,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,3.234817583
D007,S023,O052,7,868,1.337057934,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,3.234817583
D007,S024,O020,7,868,1.337057934,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,3.234817583
D007,S025,O023,7,868,1.337057934,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,3.234817583
D007,S026,O069,7,868,1.337057934,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,3.234817583
D007,S027,O054,7,868,1.337057934,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,3.234817583
D007,S028,O063,7,868,1.337057934,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,3.234817583
D007,S029,O058,7,868,1.337057934,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,3.234817583
D007,S030,O042,7,868,1.337057934,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,3.234817583
D007,S031,O083,7,868,1.337057934,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,3.234817583
D007,S032,O086,7,868,1.337057934,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,3.234817583
D008,S001,O004,4,350,2.821334593,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,16.92800756
