design_id,overload_condition_id,source_operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,relative_transaction_load,number_of_attackers
D003,S020,O029,1,385,1.754386103,744,0.31398409,0.144642217,0.380464816,1.05,47
D003,S021,O055,1,385,1.754386103,143,0.09821222,0.163666817,0.285033773,1.05,17
D003,S022,O075,1,385,1.754386103,31,0.495260113,0.154710174,0.269857669,1.05,5
D003,S023,O052,1,385,1.754386103,249,0.293109713,0.381495942,0.29384703,1.05,30
D003,S024,O020,1,385,1.754386103,113,0.348269976,0.095285863,0.409466489,1.05,28
D003,S025,O023,1,385,1.754386103,410,0.214451437,0.12789836,0.094002538,1.05,34
D003,S026,O069,1,385,1.754386103,600,0.193256125,0.259153683,0.18565311,1.05,107
D003,S027,O054,1,385,1.754386103,70,0.483939677,0.225369653,0.039302168,1.05,11
D003,S028,O063,1,385,1.754386103,159,0.167777479,0.069957712,0.130372357,1.05,38
D003,S029,O058,1,385,1.754386103,22,0.090722232,0.036785238,0.101049312,1.05,4
D003,S030,O042,1,385,1.754386103,533,0.049123846,0.273615249,0.271891148,1.05,28
D003,S031,O083,1,385,1.754386103,89,0.002629244,0.11891721,0.012340148,1.05,13
D003,S032,O086,1,385,1.754386103,135,0.469888219,0.056365997,0.043821459,1.05,28
D004,S001,O004,1,144,6.912052408,544,0.015441285,0.39993713,0.047767101,1.05,12
D004,S002,O061,1,144,6.912052408,27,0.381805437,0.01616482,0.491613692,1.05,4
D004,S003,O084,1,144,6.912052408,797,0.372992677,0.000386491,0.00152113,1.05,169
D004,S004,O040,1,144,6.912052408,585,0.392959459,0.39457393,0.498815231,1.05,30
D004,S005,O074,1,144,6.912052408,36,0.042568944,0.004280635,0.087293441,1.05,3
D004,S006,O014,1,144,6.912052408,505,0.055050564,0.385744929,0.323573274,1.05,126
D004,S007,O095,1,144,6.912052408,29,0.365502327,0.314203797,0.177999519,1.05,3
D004,S008,O008,1,144,6.912052408,217,0.118365868,0.010264005,0.438577644,1.05,4
D004,S009,O044,1,144,6.912052408,721,0.432376139,0.324925408,0.144007894,1.05,148
D004,S010,O071,1,144,6.912052408,830,0.025772238,0.059916076,0.006124037,1.05,1
D004,S011,O005,1,144,6.912052408,472,0.458927508,0.08115278,0.018055532,1.05,8
D004,S012,O094,1,144,6.912052408,888,0.302089761,0.091469055,0.358945917,1.05,193
D004,S013,O049,1,144,6.912052408,33,0.068127718,0.327197905,0.351458552,1.05,6
D004,S014,O002,1,144,6.912052408,71,0.386957289,0.33590604,0.423756547,1.05,16
D004,S015,O009,1,144,6.912052408,39,0.272204984,0.243100415,0.446678,1.05,1
D004,S016,O096,1,144,6.912052408,91,0.16170145,0.264353919,0.069555674,1.05,20
D004,S017,O067,1,144,6.912052408,60,0.359928689,0.02076874,0.174232425,1.05,6
D004,S018,O037,1,144,6.912052408,232,0.083660283,0.374766445,0.463420281,1.05,16
D004,S019,O039,1,144,6.912052408,48,0.232718262,0.17994217,0.033136716,1.05,1
D004,S020,O029,1,144,6.912052408,744,0.31398409,0.144642217,0.380464816,1.05,47
D004,S021,O055,1,144,6.912052408,143,0.09821222,0.163666817,0.285033773,1.05,17
D004,S022,O075,1,144,6.912052408,31,0.495260113,0.154710174,0.269857669,1.05,5
D004,S023,O052,1,144,6.912052408,249,0.293109713,0.381495942,0.29384703,1.05,30
D004,S024,O020,1,144,6.912052408,113,0.348269976,0.095285863,0.409466489,1.05,28
D004,S025,O023,1,144,6.912052408,410,0.214451437,0.12789836,0.094002538,1.05,34
D004,S026,O069,1,144,6.912052408,600,0.193256125,0.259153683,0.18565311,1.05,107
D004,S027,O054,1,144,6.912052408,70,0.483939677,0.225369653,0.039302168,1.05,11
D004,S028,O063,1,144,6.912052408,159,0.167777479,0.069957712,0.130372357,1.05,38
D004,S029,O058,1,144,6.912052408,22,0.090722232,0.036785238,0.101049312,1.05,4
D004,S030,O042,1,144,6.912052408,533,0.049123846,0.273615249,0.271891148,1.05,28
D004,S031,O083,1,144,6.912052408,89,0.002629244,0.11891721,0.012340148,1.05,13
D004,S032,O086,1,144,6.912052408,135,0.469888219,0.056365997,0.043821459,1.05,28
D005,S001,O004,4,153,3.501333012,544,0.015441285,0.39993713,0.047767101,1.05,12
D005,S002,O061,4,153,3.501333012,27,0.381805437,0.01616482,0.491613692,1.05,4
D005,S003,O084,4,153,3.501333012,797,0.372992677,0.000386491,0.00152113,1.05,169
D005,S004,O040,4,153,3.501333012,585,0.392959459,0.39457393,0.498815231,1.05,30
D005,S005,O074,4,153,3.501333012,36,0.042568944,0.004280635,0.087293441,1.05,3
D005,S006,O014,4,153,3.501333012,505,0.055050564,0.385744929,0.323573274,1.05,126
D005,S007,O095,4,153,3.501333012,29,0.365502327,0.314203797,0.177999519,1.05,3
D005,S008,O008,4,153,3.501333012,217,0.118365868,0.010264005,0.438577644,1.05,4
D005,S009,O044,4,153,3.501333012,721,0.432376139,0.324925408,0.144007894,1.05,148
D005,S010,O071,4,153,3.501333012,830,0.025772238,0.059916076,0.006124037,1.05,1
D005,S011,O005,4,153,3.501333012,472,0.458927508,0.08115278,0.018055532,1.05,8
D005,S012,O094,4,153,3.501333012,888,0.302089761,0.091469055,0.358945917,1.05,193
D005,S013,O049,4,153,3.501333012,33,0.068127718,0.327197905,0.351458552,1.05,6
D005,S014,O002,4,153,3.501333012,71,0.386957289,0.33590604,0.423756547,1.05,16
D005,S015,O009,4,153,3.501333012,39,0.272204984,0.243100415,0.446678,1.05,1
D005,S016,O096,4,153,3.501333012,91,0.16170145,0.264353919,0.069555674,1.05,20
D005,S017,O067,4,153,3.501333012,60,0.359928689,0.02076874,0.174232425,1.05,6
D005,S018,O037,4,153,3.501333012,232,0.083660283,0.374766445,0.463420281,1.05,16
D005,S019,O039,4,153,3.501333012,48,0.232718262,0.17994217,0.033136716,1.05,1
D005,S020,O029,4,153,3.501333012,744,0.31398409,0.144642217,0.380464816,1.05,47
D005,S021,O055,4,153,3.501333012,143,0.09821222,0.163666817,0.285033773,1.05,17
D005,S022,O075,4,153,3.501333012,31,0.495260113,0.154710174,0.269857669,1.05,5
D005,S023,O052,4,153,3.501333012,249,0.293109713,0.381495942,0.29384703,1.05,30
D005,S024,O020,4,153,3.501333012,113,0.348269976,0.095285863,0.409466489,1.05,28
D005,S025,O023,4,153,3.501333012,410,0.214451437,0.12789836,0.094002538,1.05,34
D005,S026,O069,4,153,3.501333012,600,0.193256125,0.259153683,0.18565311,1.05,107
D005,S027,O054,4,153,3.501333012,70,0.483939677,0.225369653,0.039302168,1.05,11
D005,S028,O063,4,153,3.501333012,159,0.167777479,0.069957712,0.130372357,1.05,38
D005,S029,O058,4,153,3.501333012,22,0.090722232,0.036785238,0.101049312,1.05,4
D005,S030,O042,4,153,3.501333012,533,0.049123846,0.273615249,0.271891148,1.05,28
D005,S031,O083,4,153,3.501333012,89,0.002629244,0.11891721,0.012340148,1.05,13
D005,S032,O086,4,153,3.501333012,135,0.469888219,0.056365997,0.043821459,1.05,28
D006,S001,O004,3,1163,0.340932792,544,0.015441285,0.39993713,0.047767101,1.05,12
D006,S002,O061,3,1163,0.340932792,27,0.381805437,0.01616482,0.491613692,1.05,4
D006,S003,O084,3,1163,0.340932792,797,0.372992677,0.000386491,0.00152113,1.05,169
D006,S004,O040,3,1163,0.340932792,585,0.392959459,0.39457393,0.498815231,1.05,30
D006,S005,O074,3,1163,0.340932792,36,0.042568944,0.004280635,0.087293441,1.05,3
D006,S006,O014,3,1163,0.340932792,505,0.055050564,0.385744929,0.323573274,1.05,126
D006,S007,O095,3,1163,0.340932792,29,0.365502327,0.314203797,0.177999519,1.05,3
D006,S008,O008,3,1163,0.340932792,217,0.118365868,0.010264005,0.438577644,1.05,4
D006,S009,O044,3,1163,0.340932792,721,0.432376139,0.324925408,0.144007894,1.05,148
D006,S010,O071,3,1163,0.340932792,830,0.025772238,0.059916076,0.006124037,1.05,1
D006,S011,O005,3,1163,0.340932792,472,0.458927508,0.08115278,0.018055532,1.05,8
D006,S012,O094,3,1163,0.340932792,888,0.302089761,0.091469055,0.358945917,1.05,193
D006,S013,O049,3,1163,0.340932792,33,0.068127718,0.327197905,0.351458552,1.05,6
D006,S014,O002,3,1163,0.340932792,71,0.386957289,0.33590604,0.423756547,1.05,16
D006,S015,O009,3,1163,0.340932792,39,0.272204984,0.243100415,0.446678,1.05,1
D006,S016,O096,3,1163,0.340932792,91,0.16170145,0.264353919,0.069555674,1.05,20
D006,S017,O067,3,1163,0.340932792,60,0.359928689,0.02076874,0.174232425,1.05,6
D006,S018,O037,3,1163,0.340932792,232,0.083660283,0.374766445,0.463420281,1.05,16
D006,S019,O039,3,1163,0.340932792,48,0.232718262,0.17994217,0.033136716,1.05,1
D006,S020,O029,3,1163,0.340932792,744,0.31398409,0.144642217,0.380464816,1.05,47
D006,S021,O055,3,1163,0.340932792,143,0.09821222,0.163666817,0.285033773,1.05,17
D006,S022,O075,3,1163,0.340932792,31,0.495260113,0.154710174,0.269857669,1.05,5
D006,S023,O052,3,1163,0.340932792,249,0.293109713,0.381495942,0.29384703,1.05,30
D006,S024,O020,3,1163,0.340932792,113,0.348269976,0.095285863,0.409466489,1.05,28
D006,S025,O023,3,1163,0.340932792,410,0.214451437,0.12789836,0.094002538,1.05,34
D006,S026,O069,3,1163,0.340932792,600,0.193256125,0.259153683,0.18565311,1.05,107
D006,S027,O054,3,1163,0.340932792,70,0.483939677,0.225369653,0.039302168,1.05,11
D006,S028,O063,3,1163,0.340932792,159,0.167777479,0.069957712,0.130372357,1.05,38
D006,S029,O058,3,1163,0.340932792,22,0.090722232,0.036785238,0.101049312,1.05,4
D006,S030,O042,3,1163,0.340932792,533,0.049123846,0.273615249,0.271891148,1.05,28
D006,S031,O083,3,1163,0.340932792,89,0.002629244,0.11891721,0.012340148,1.05,13
D006,S032,O086,3,1163,0.340932792,135,0.469888219,0.056365997,0.043821459,1.05,28
D007,S001,O004,7,868,1.337057934,544,0.015441285,0.39993713,0.047767101,1.05,12
D007,S002,O061,7,868,1.337057934,27,0.381805437,0.01616482,0.491613692,1.05,4
D007,S003,O084,7,868,1.337057934,797,0.372992677,0.000386491,0.00152113,1.05,169
D007,S004,O040,7,868,1.337057934,585,0.392959459,0.39457393,0.498815231,1.05,30
D007,S005,O074,7,868,1.337057934,36,0.042568944,0.004280635,0.087293441,1.05,3
D007,S006,O014,7,868,1.337057934,505,0.055050564,0.385744929,0.323573274,1.05,126
D007,S007,O095,7,868,1.337057934,29,0.365502327,0.314203797,0.177999519,1.05,3
D007,S008,O008,7,868,1.337057934,217,0.118365868,0.010264005,0.438577644,1.05,4
D007,S009,O044,7,868,1.337057934,721,0.432376139,0.324925408,0.144007894,1.05,148
D007,S010,O071,7,868,1.337057934,830,0.025772238,0.059916076,0.006124037,1.05,1
D007,S011,O005,7,868,1.337057934,472,0.458927508,0.08115278,0.018055532,1.05,8
D007,S012,O094,7,868,1.337057934,888,0.302089761,0.091469055,0.358945917,1.05,193
D007,S013,O049,7,868,1.337057934,33,0.068127718,0.327197905,0.351458552,1.05,6
D007,S014,O002,7,868,1.337057934,71,0.386957289,0.33590604,0.423756547,1.05,16
D007,S015,O009,7,868,1.337057934,39,0.272204984,0.243100415,0.446678,1.05,1
D007,S016,O096,7,868,1.337057934,91,0.16170145,0.264353919,0.069555674,1.05,20
D007,S017,O067,7,868,1.337057934,60,0.359928689,0.02076874,0.174232425,1.05,6
D007,S018,O037,7,868,1.337057934,232,0.083660283,0.374766445,0.463420281,1.05,16
D007,S019,O039,7,868,1.337057934,48,0.232718262,0.17994217,0.033136716,1.05,1
D007,S020,O029,7,868,1.337057934,744,0.31398409,0.144642217,0.380464816,1.05,47
D007,S021,O055,7,868,1.337057934,143,0.09821222,0.163666817,0.285033773,1.05,17
D007,S022,O075,7,868,1.337057934,31,0.495260113,0.154710174,0.269857669,1.05,5
D007,S023,O052,7,868,1.337057934,249,0.293109713,0.381495942,0.29384703,1.05,30
D007,S024,O020,7,868,1.337057934,113,0.348269976,0.095285863,0.409466489,1.05,28
D007,S025,O023,7,868,1.337057934,410,0.214451437,0.12789836,0.094002538,1.05,34
D007,S026,O069,7,868,1.337057934,600,0.193256125,0.259153683,0.18565311,1.05,107
D007,S027,O054,7,868,1.337057934,70,0.483939677,0.225369653,0.039302168,1.05,11
D007,S028,O063,7,868,1.337057934,159,0.167777479,0.069957712,0.130372357,1.05,38
D007,S029,O058,7,868,1.337057934,22,0.090722232,0.036785238,0.101049312,1.05,4
D007,S030,O042,7,868,1.337057934,533,0.049123846,0.273615249,0.271891148,1.05,28
D007,S031,O083,7,868,1.337057934,89,0.002629244,0.11891721,0.012340148,1.05,13
D007,S032,O086,7,868,1.337057934,135,0.469888219,0.056365997,0.043821459,1.05,28
D008,S001,O004,4,350,2.821334593,544,0.015441285,0.39993713,0.047767101,1.05,12
D008,S002,O061,4,350,2.821334593,27,0.381805437,0.01616482,0.491613692,1.05,4
D008,S003,O084,4,350,2.821334593,797,0.372992677,0.000386491,0.00152113,1.05,169
D008,S004,O040,4,350,2.821334593,585,0.392959459,0.39457393,0.498815231,1.05,30
D008,S005,O074,4,350,2.821334593,36,0.042568944,0.004280635,0.087293441,1.05,3
D008,S006,O014,4,350,2.821334593,505,0.055050564,0.385744929,0.323573274,1.05,126
D008,S007,O095,4,350,2.821334593,29,0.365502327,0.314203797,0.177999519,1.05,3
D008,S008,O008,4,350,2.821334593,217,0.118365868,0.010264005,0.438577644,1.05,4
D008,S009,O044,4,350,2.821334593,721,0.432376139,0.324925408,0.144007894,1.05,148
D008,S010,O071,4,350,2.821334593,830,0.025772238,0.059916076,0.006124037,1.05,1
D008,S011,O005,4,350,2.821334593,472,0.458927508,0.08115278,0.018055532,1.05,8
D008,S012,O094,4,350,2.821334593,888,0.302089761,0.091469055,0.358945917,1.05,193
D008,S013,O049,4,350,2.821334593,33,0.068127718,0.327197905,0.351458552,1.05,6
D008,S014,O002,4,350,2.821334593,71,0.386957289,0.33590604,0.423756547,1.05,16
D008,S015,O009,4,350,2.821334593,39,0.272204984,0.243100415,0.446678,1.05,1
D008,S016,O096,4,350,2.821334593,91,0.16170145,0.264353919,0.069555674,1.05,20
D008,S017,O067,4,350,2.821334593,60,0.359928689,0.02076874,0.174232425,1.05,6
D008,S018,O037,4,350,2.821334593,232,0.083660283,0.374766445,0.463420281,1.05,16
D008,S019,O039,4,350,2.821334593,48,0.232718262,0.17994217,0.033136716,1.05,1
D008,S020,O029,4,350,2.821334593,744,0.31398409,0.144642217,0.380464816,1.05,47
D008,S021,O055,4,350,2.821334593,143,0.09821222,0.163666817,0.285033773,1.05,17
D008,S022,O075,4,350,2.821334593,31,0.495260113,0.154710174,0.269857669,1.05,5
D008,S023,O052,4,350,2.821334593,249,0.293109713,0.381495942,0.29384703,1.05,30
D008,S024,O020,4,350,2.821334593,113,0.348269976,0.095285863,0.409466489,1.05,28
D008,S025,O023,4,350,2.821334593,410,0.214451437,0.12789836,0.094002538,1.05,34
D008,S026,O069,4,350,2.821334593,600,0.193256125,0.259153683,0.18565311,1.05,107
D008,S027,O054,4,350,2.821334593,70,0.483939677,0.225369653,0.039302168,1.05,11
D008,S028,O063,4,350,2.821334593,159,0.167777479,0.069957712,0.130372357,1.05,38
D008,S029,O058,4,350,2.821334593,22,0.090722232,0.036785238,0.101049312,1.05,4
D008,S030,O042,4,350,2.821334593,533,0.049123846,0.273615249,0.271891148,1.05,28
D008,S031,O083,4,350,2.821334593,89,0.002629244,0.11891721,0.012340148,1.05,13
D008,S032,O086,4,350,2.821334593,135,0.469888219,0.056365997,0.043821459,1.05,28
D009,S001,O004,2,423,1.163860334,544,0.015441285,0.39993713,0.047767101,1.05,12
D009,S002,O061,2,423,1.163860334,27,0.381805437,0.01616482,0.491613692,1.05,4
D009,S003,O084,2,423,1.163860334,797,0.372992677,0.000386491,0.00152113,1.05,169
D009,S004,O040,2,423,1.163860334,585,0.392959459,0.39457393,0.498815231,1.05,30
D009,S005,O074,2,423,1.163860334,36,0.042568944,0.004280635,0.087293441,1.05,3
D009,S006,O014,2,423,1.163860334,505,0.055050564,0.385744929,0.323573274,1.05,126
D009,S007,O095,2,423,1.163860334,29,0.365502327,0.314203797,0.177999519,1.05,3
D009,S008,O008,2,423,1.163860334,217,0.118365868,0.010264005,0.438577644,1.05,4
D009,S009,O044,2,423,1.163860334,721,0.432376139,0.324925408,0.144007894,1.05,148
D009,S010,O071,2,423,1.163860334,830,0.025772238,0.059916076,0.006124037,1.05,1
D009,S011,O005,2,423,1.163860334,472,0.458927508,0.08115278,0.018055532,1.05,8
D009,S012,O094,2,423,1.163860334,888,0.302089761,0.091469055,0.358945917,1.05,193
D009,S013,O049,2,423,1.163860334,33,0.068127718,0.327197905,0.351458552,1.05,6
D009,S014,O002,2,423,1.163860334,71,0.386957289,0.33590604,0.423756547,1.05,16
D009,S015,O009,2,423,1.163860334,39,0.272204984,0.243100415,0.446678,1.05,1
D009,S016,O096,2,423,1.163860334,91,0.16170145,0.264353919,0.069555674,1.05,20
D009,S017,O067,2,423,1.163860334,60,0.359928689,0.02076874,0.174232425,1.05,6
D009,S018,O037,2,423,1.163860334,232,0.083660283,0.374766445,0.463420281,1.05,16
D009,S019,O039,2,423,1.163860334,48,0.232718262,0.17994217,0.033136716,1.05,1
D009,S020,O029,2,423,1.163860334,744,0.31398409,0.144642217,0.380464816,1.05,47
D009,S021,O055,2,423,1.163860334,143,0.09821222,0.163666817,0.285033773,1.05,17
D009,S022,O075,2,423,1.163860334,31,0.495260113,0.154710174,0.269857669,1.05,5
D009,S023,O052,2,423,1.163860334,249,0.293109713,0.381495942,0.29384703,1.05,30
D009,S024,O020,2,423,1.163860334,113,0.348269976,0.095285863,0.409466489,1.05,28
D009,S025,O023,2,423,1.163860334,410,0.214451437,0.12789836,0.094002538,1.05,34
D009,S026,O069,2,423,1.163860334,600,0.193256125,0.259153683,0.18565311,1.05,107
D009,S027,O054,2,423,1.163860334,70,0.483939677,0.225369653,0.039302168,1.05,11
D009,S028,O063,2,423,1.163860334,159,0.167777479,0.069957712,0.130372357,1.05,38
D009,S029,O058,2,423,1.163860334,22,0.090722232,0.036785238,0.101049312,1.05,4
D009,S030,O042,2,423,1.163860334,533,0.049123846,0.273615249,0.271891148,1.05,28
D009,S031,O083,2,423,1.163860334,89,0.002629244,0.11891721,0.012340148,1.05,13
D009,S032,O086,2,423,1.163860334,135,0.469888219,0.056365997,0.043821459,1.05,28
D010,S001,O004,3,320,3.385100809,544,0.015441285,0.39993713,0.047767101,1.05,12
D010,S002,O061,3,320,3.385100809,27,0.381805437,0.01616482,0.491613692,1.05,4
D010,S003,O084,3,320,3.385100809,797,0.372992677,0.000386491,0.00152113,1.05,169
D010,S004,O040,3,320,3.385100809,585,0.392959459,0.39457393,0.498815231,1.05,30
D010,S005,O074,3,320,3.385100809,36,0.042568944,0.004280635,0.087293441,1.05,3
D010,S006,O014,3,320,3.385100809,505,0.055050564,0.385744929,0.323573274,1.05,126
D010,S007,O095,3,320,3.385100809,29,0.365502327,0.314203797,0.177999519,1.05,3
D010,S008,O008,3,320,3.385100809,217,0.118365868,0.010264005,0.438577644,1.05,4
D010,S009,O044,3,320,3.385100809,721,0.432376139,0.324925408,0.144007894,1.05,148
D010,S010,O071,3,320,3.385100809,830,0.025772238,0.059916076,0.006124037,1.05,1
D010,S011,O005,3,320,3.385100809,472,0.458927508,0.08115278,0.018055532,1.05,8
D010,S012,O094,3,320,3.385100809,888,0.302089761,0.091469055,0.358945917,1.05,193
D010,S013,O049,3,320,3.385100809,33,0.068127718,0.327197905,0.351458552,1.05,6
D010,S014,O002,3,320,3.385100809,71,0.386957289,0.33590604,0.423756547,1.05,16
D010,S015,O009,3,320,3.385100809,39,0.272204984,0.243100415,0.446678,1.05,1
D010,S016,O096,3,320,3.385100809,91,0.16170145,0.264353919,0.069555674,1.05,20
D010,S017,O067,3,320,3.385100809,60,0.359928689,0.02076874,0.174232425,1.05,6
D010,S018,O037,3,320,3.385100809,232,0.083660283,0.374766445,0.463420281,1.05,16
