design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,relative_transaction_load,number_of_attackers
D128,O081,8,1200,8,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D128,O049,8,1200,8,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D128,O052,8,1200,8,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D128,O008,8,1200,8,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D128,O054,8,1200,8,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D128,O024,8,1200,8,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D128,O096,8,1200,8,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D128,O011,8,1200,8,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D128,O007,8,1200,8,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D128,O005,8,1200,8,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D128,O051,8,1200,8,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D128,O035,8,1200,8,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D128,O061,8,1200,8,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D128,O041,8,1200,8,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D128,O063,8,1200,8,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D128,O019,8,1200,8,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D128,O012,8,1200,8,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D128,O043,8,1200,8,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D128,O020,8,1200,8,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D128,O038,8,1200,8,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D128,O010,8,1200,8,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D128,O053,8,1200,8,251,0.008437374,0.219704544,0.077608614,0.857828126,11
D128,O032,8,1200,8,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D128,O083,8,1200,8,89,0.002629244,0.11891721,0.012340148,0.799263288,13
D128,O050,8,1200,8,322,0.206052109,0.123509785,0.230258857,0.710466564,78
D128,O084,8,1200,8,797,0.372992677,0.000386491,0.00152113,0.993396916,169
D128,O027,8,1200,8,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D128,O023,8,1200,8,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D128,O047,8,1200,8,32,0.457593053,0.357426009,0.365235909,0.729886159,4
D128,O067,8,1200,8,60,0.359928689,0.02076874,0.174232425,0.648987034,6
D128,O074,8,1200,8,36,0.042568944,0.004280635,0.087293441,0.86728622,3
D128,O092,8,1200,8,303,0.442706311,0.172267227,0.436491903,0.897895329,53
D128,O045,8,1200,8,692,0.331104768,0.086465045,0.220042135,0.679206917,59
D128,O093,8,1200,8,25,0.276275035,0.078153424,0.291384582,0.958605081,1
D128,O055,8,1200,8,143,0.09821222,0.163666817,0.285033773,0.601558378,17
D024,O006,8,72,0.946451147,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D024,O071,8,72,0.946451147,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D024,O014,8,72,0.946451147,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D024,O017,8,72,0.946451147,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D024,O086,8,72,0.946451147,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D024,O068,8,72,0.946451147,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D024,O088,8,72,0.946451147,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D024,O004,8,72,0.946451147,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D024,O044,8,72,0.946451147,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D024,O039,8,72,0.946451147,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D024,O002,8,72,0.946451147,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D024,O040,8,72,0.946451147,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D024,O094,8,72,0.946451147,888,0.302089761,0.091469055,0.358945917,0.915650339,193
D024,O081,8,72,0.946451147,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D024,O049,8,72,0.946451147,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D024,O052,8,72,0.946451147,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D024,O008,8,72,0.946451147,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D024,O054,8,72,0.946451147,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D024,O024,8,72,0.946451147,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D024,O096,8,72,0.946451147,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D024,O011,8,72,0.946451147,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D024,O007,8,72,0.946451147,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D024,O005,8,72,0.946451147,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D024,O051,8,72,0.946451147,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D024,O035,8,72,0.946451147,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D024,O061,8,72,0.946451147,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D024,O041,8,72,0.946451147,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D024,O063,8,72,0.946451147,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D024,O019,8,72,0.946451147,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D024,O012,8,72,0.946451147,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D024,O043,8,72,0.946451147,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D024,O020,8,72,0.946451147,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D024,O038,8,72,0.946451147,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D024,O010,8,72,0.946451147,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D024,O053,8,72,0.946451147,251,0.008437374,0.219704544,0.077608614,0.857828126,11
D024,O032,8,72,0.946451147,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D024,O083,8,72,0.946451147,89,0.002629244,0.11891721,0.012340148,0.799263288,13
D024,O050,8,72,0.946451147,322,0.206052109,0.123509785,0.230258857,0.710466564,78
D024,O084,8,72,0.946451147,797,0.372992677,0.000386491,0.00152113,0.993396916,169
D024,O027,8,72,0.946451147,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D024,O023,8,72,0.946451147,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D024,O047,8,72,0.946451147,32,0.457593053,0.357426009,0.365235909,0.729886159,4
D024,O067,8,72,0.946451147,60,0.359928689,0.02076874,0.174232425,0.648987034,6
D024,O074,8,72,0.946451147,36,0.042568944,0.004280635,0.087293441,0.86728622,3
D024,O092,8,72,0.946451147,303,0.442706311,0.172267227,0.436491903,0.897895329,53
D024,O045,8,72,0.946451147,692,0.331104768,0.086465045,0.220042135,0.679206917,59
D024,O093,8,72,0.946451147,25,0.276275035,0.078153424,0.291384582,0.958605081,1
D024,O055,8,72,0.946451147,143,0.09821222,0.163666817,0.285033773,0.601558378,17
D118,O006,4,1114,0.319192161,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D118,O071,4,1114,0.319192161,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D118,O014,4,1114,0.319192161,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D118,O017,4,1114,0.319192161,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D118,O086,4,1114,0.319192161,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D118,O068,4,1114,0.319192161,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D118,O088,4,1114,0.319192161,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D118,O004,4,1114,0.319192161,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D118,O044,4,1114,0.319192161,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D118,O039,4,1114,0.319192161,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D118,O002,4,1114,0.319192161,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D118,O040,4,1114,0.319192161,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D118,O094,4,1114,0.319192161,888,0.302089761,0.091469055,0.358945917,0.915650339,193
D118,O081,4,1114,0.319192161,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D118,O049,4,1114,0.319192161,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D118,O052,4,1114,0.319192161,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D118,O008,4,1114,0.319192161,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D118,O054,4,1114,0.319192161,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D118,O024,4,1114,0.319192161,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D118,O096,4,1114,0.319192161,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D118,O011,4,1114,0.319192161,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D118,O007,4,1114,0.319192161,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D118,O005,4,1114,0.319192161,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D118,O051,4,1114,0.319192161,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D118,O035,4,1114,0.319192161,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D118,O061,4,1114,0.319192161,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D118,O041,4,1114,0.319192161,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D118,O063,4,1114,0.319192161,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D118,O019,4,1114,0.319192161,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D118,O012,4,1114,0.319192161,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D118,O043,4,1114,0.319192161,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D118,O020,4,1114,0.319192161,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D118,O038,4,1114,0.319192161,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D118,O010,4,1114,0.319192161,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D118,O053,4,1114,0.319192161,251,0.008437374,0.219704544,0.077608614,0.857828126,11
D118,O032,4,1114,0.319192161,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D118,O083,4,1114,0.319192161,89,0.002629244,0.11891721,0.012340148,0.799263288,13
D118,O050,4,1114,0.319192161,322,0.206052109,0.123509785,0.230258857,0.710466564,78
D118,O084,4,1114,0.319192161,797,0.372992677,0.000386491,0.00152113,0.993396916,169
D118,O027,4,1114,0.319192161,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D118,O023,4,1114,0.319192161,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D118,O047,4,1114,0.319192161,32,0.457593053,0.357426009,0.365235909,0.729886159,4
D118,O067,4,1114,0.319192161,60,0.359928689,0.02076874,0.174232425,0.648987034,6
D118,O074,4,1114,0.319192161,36,0.042568944,0.004280635,0.087293441,0.86728622,3
D118,O092,4,1114,0.319192161,303,0.442706311,0.172267227,0.436491903,0.897895329,53
D118,O045,4,1114,0.319192161,692,0.331104768,0.086465045,0.220042135,0.679206917,59
D118,O093,4,1114,0.319192161,25,0.276275035,0.078153424,0.291384582,0.958605081,1
D118,O055,4,1114,0.319192161,143,0.09821222,0.163666817,0.285033773,0.601558378,17
D117,O006,1,697,7.063418201,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D117,O071,1,697,7.063418201,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D117,O014,1,697,7.063418201,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D117,O017,1,697,7.063418201,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D117,O086,1,697,7.063418201,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D117,O068,1,697,7.063418201,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D117,O088,1,697,7.063418201,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D117,O004,1,697,7.063418201,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D117,O044,1,697,7.063418201,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D117,O039,1,697,7.063418201,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D117,O002,1,697,7.063418201,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D117,O040,1,697,7.063418201,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D117,O094,1,697,7.063418201,888,0.302089761,0.091469055,0.358945917,0.915650339,193
D117,O081,1,697,7.063418201,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D117,O049,1,697,7.063418201,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D117,O052,1,697,7.063418201,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D117,O008,1,697,7.063418201,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D117,O054,1,697,7.063418201,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D117,O024,1,697,7.063418201,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D117,O096,1,697,7.063418201,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D117,O011,1,697,7.063418201,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D117,O007,1,697,7.063418201,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D117,O005,1,697,7.063418201,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D117,O051,1,697,7.063418201,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D117,O035,1,697,7.063418201,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D117,O061,1,697,7.063418201,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D117,O041,1,697,7.063418201,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D117,O063,1,697,7.063418201,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D117,O019,1,697,7.063418201,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D117,O012,1,697,7.063418201,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D117,O043,1,697,7.063418201,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D117,O020,1,697,7.063418201,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D117,O038,1,697,7.063418201,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D117,O010,1,697,7.063418201,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D117,O053,1,697,7.063418201,251,0.008437374,0.219704544,0.077608614,0.857828126,11
D117,O032,1,697,7.063418201,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D117,O083,1,697,7.063418201,89,0.002629244,0.11891721,0.012340148,0.799263288,13
D117,O050,1,697,7.063418201,322,0.206052109,0.123509785,0.230258857,0.710466564,78
D117,O084,1,697,7.063418201,797,0.372992677,0.000386491,0.00152113,0.993396916,169
D117,O027,1,697,7.063418201,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D117,O023,1,697,7.063418201,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D117,O047,1,697,7.063418201,32,0.457593053,0.357426009,0.365235909,0.729886159,4
D117,O067,1,697,7.063418201,60,0.359928689,0.02076874,0.174232425,0.648987034,6
D117,O074,1,697,7.063418201,36,0.042568944,0.004280635,0.087293441,0.86728622,3
D117,O092,1,697,7.063418201,303,0.442706311,0.172267227,0.436491903,0.897895329,53
D117,O045,1,697,7.063418201,692,0.331104768,0.086465045,0.220042135,0.679206917,59
D117,O093,1,697,7.063418201,25,0.276275035,0.078153424,0.291384582,0.958605081,1
D117,O055,1,697,7.063418201,143,0.09821222,0.163666817,0.285033773,0.601558378,17
D122,O006,1,60,8,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D122,O071,1,60,8,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D122,O014,1,60,8,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D122,O017,1,60,8,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D122,O086,1,60,8,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D122,O068,1,60,8,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D122,O088,1,60,8,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D122,O004,1,60,8,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D122,O044,1,60,8,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D122,O039,1,60,8,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D122,O002,1,60,8,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D122,O040,1,60,8,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D122,O094,1,60,8,888,0.302089761,0.091469055,0.358945917,0.915650339,193
D122,O081,1,60,8,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D122,O049,1,60,8,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D122,O052,1,60,8,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D122,O008,1,60,8,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D122,O054,1,60,8,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D122,O024,1,60,8,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D122,O096,1,60,8,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D122,O011,1,60,8,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D122,O007,1,60,8,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D122,O005,1,60,8,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D122,O051,1,60,8,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D122,O035,1,60,8,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D122,O061,1,60,8,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D122,O041,1,60,8,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D122,O063,1,60,8,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D122,O019,1,60,8,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D122,O012,1,60,8,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D122,O043,1,60,8,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D122,O020,1,60,8,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D122,O038,1,60,8,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D122,O010,1,60,8,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D122,O053,1,60,8,251,0.008437374,0.219704544,0.077608614,0.857828126,11
D122,O032,1,60,8,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D122,O083,1,60,8,89,0.002629244,0.11891721,0.012340148,0.799263288,13
D122,O050,1,60,8,322,0.206052109,0.123509785,0.230258857,0.710466564,78
D122,O084,1,60,8,797,0.372992677,0.000386491,0.00152113,0.993396916,169
D122,O027,1,60,8,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D122,O023,1,60,8,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D122,O047,1,60,8,32,0.457593053,0.357426009,0.365235909,0.729886159,4
D122,O067,1,60,8,60,0.359928689,0.02076874,0.174232425,0.648987034,6
D122,O074,1,60,8,36,0.042568944,0.004280635,0.087293441,0.86728622,3
D122,O092,1,60,8,303,0.442706311,0.172267227,0.436491903,0.897895329,53
D122,O045,1,60,8,692,0.331104768,0.086465045,0.220042135,0.679206917,59
D122,O093,1,60,8,25,0.276275035,0.078153424,0.291384582,0.958605081,1
D122,O055,1,60,8,143,0.09821222,0.163666817,0.285033773,0.601558378,17
D101,O006,5,167,5.760753696,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D101,O071,5,167,5.760753696,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D101,O014,5,167,5.760753696,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D101,O017,5,167,5.760753696,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D101,O086,5,167,5.760753696,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D101,O068,5,167,5.760753696,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D101,O088,5,167,5.760753696,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D101,O004,5,167,5.760753696,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D101,O044,5,167,5.760753696,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D101,O039,5,167,5.760753696,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D101,O002,5,167,5.760753696,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D101,O040,5,167,5.760753696,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D101,O094,5,167,5.760753696,888,0.302089761,0.091469055,0.358945917,0.915650339,193
D101,O081,5,167,5.760753696,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D101,O049,5,167,5.760753696,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D101,O052,5,167,5.760753696,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D101,O008,5,167,5.760753696,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D101,O054,5,167,5.760753696,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D101,O024,5,167,5.760753696,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D101,O096,5,167,5.760753696,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D101,O011,5,167,5.760753696,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D101,O007,5,167,5.760753696,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D101,O005,5,167,5.760753696,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D101,O051,5,167,5.760753696,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D101,O035,5,167,5.760753696,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D101,O061,5,167,5.760753696,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D101,O041,5,167,5.760753696,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D101,O063,5,167,5.760753696,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D101,O019,5,167,5.760753696,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D101,O012,5,167,5.760753696,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D101,O043,5,167,5.760753696,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D101,O020,5,167,5.760753696,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D101,O038,5,167,5.760753696,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D101,O010,5,167,5.760753696,78,0.42428609,0.04657399,0.47291634,0.886241643,6
