design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,relative_transaction_load,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D121,O008,1,60,0.25,217,0.118365868,0.010264005,0.438577644,4,0.70421183,65,D121_O008,1,1,D121_O008_S01,6284232315691733817,570621916176165790,D121_O008_S01_E01
D121,O008,1,60,0.25,217,0.118365868,0.010264005,0.438577644,4,0.70421183,66,D121_O008,1,2,D121_O008_S01,6284232315691733817,8458442720795998024,D121_O008_S01_E02
D121,O008,1,60,0.25,217,0.118365868,0.010264005,0.438577644,4,0.70421183,67,D121_O008,2,1,D121_O008_S02,6936393427062035243,-219395118498893921,D121_O008_S02_E01
D121,O008,1,60,0.25,217,0.118365868,0.010264005,0.438577644,4,0.70421183,68,D121_O008,2,2,D121_O008_S02,6936393427062035243,4238087722337544257,D121_O008_S02_E02
D121,O054,1,60,0.25,70,0.483939677,0.225369653,0.039302168,11,0.574845385,69,D121_O054,1,1,D121_O054_S01,3147793819662230064,6712121457797112372,D121_O054_S01_E01
D121,O054,1,60,0.25,70,0.483939677,0.225369653,0.039302168,11,0.574845385,70,D121_O054,1,2,D121_O054_S01,3147793819662230064,-7719865885157667860,D121_O054_S01_E02
D121,O054,1,60,0.25,70,0.483939677,0.225369653,0.039302168,11,0.574845385,71,D121_O054,2,1,D121_O054_S02,-5844856552110625272,2926912747520500284,D121_O054_S02_E01
D121,O054,1,60,0.25,70,0.483939677,0.225369653,0.039302168,11,0.574845385,72,D121_O054,2,2,D121_O054_S02,-5844856552110625272,-6981042698144211581,D121_O054_S02_E02
D121,O024,1,60,0.25,109,0.107543079,0.370185632,0.33107989,2,0.763088384,73,D121_O024,1,1,D121_O024_S01,-5531100044377131079,-6407131814508684961,D121_O024_S01_E01
D121,O024,1,60,0.25,109,0.107543079,0.370185632,0.33107989,2,0.763088384,74,D121_O024,1,2,D121_O024_S01,-5531100044377131079,7706884049072385519,D121_O024_S01_E02
D121,O024,1,60,0.25,109,0.107543079,0.370185632,0.33107989,2,0.763088384,75,D121_O024,2,1,D121_O024_S02,6604367617796444590,-5642640502868944980,D121_O024_S02_E01
D121,O024,1,60,0.25,109,0.107543079,0.370185632,0.33107989,2,0.763088384,76,D121_O024,2,2,D121_O024_S02,6604367617796444590,-7262656283391898466,D121_O024_S02_E02
D121,O096,1,60,0.25,91,0.16170145,0.264353919,0.069555674,20,0.545005585,77,D121_O096,1,1,D121_O096_S01,-8291544018210563388,-7097088598634044370,D121_O096_S01_E01
D121,O096,1,60,0.25,91,0.16170145,0.264353919,0.069555674,20,0.545005585,78,D121_O096,1,2,D121_O096_S01,-8291544018210563388,5997463437641184393,D121_O096_S01_E02
D121,O096,1,60,0.25,91,0.16170145,0.264353919,0.069555674,20,0.545005585,79,D121_O096,2,1,D121_O096_S02,8056930381081793224,-2523361765904227463,D121_O096_S02_E01
D121,O096,1,60,0.25,91,0.16170145,0.264353919,0.069555674,20,0.545005585,80,D121_O096,2,2,D121_O096_S02,8056930381081793224,-8893571976332421506,D121_O096_S02_E02
D121,O011,1,60,0.25,163,0.257766277,0.230369452,0.067376828,24,1.041013094,81,D121_O011,1,1,D121_O011_S01,-2926179108224096482,-8159097293384693465,D121_O011_S01_E01
D121,O011,1,60,0.25,163,0.257766277,0.230369452,0.067376828,24,1.041013094,82,D121_O011,1,2,D121_O011_S01,-2926179108224096482,-7109405727133293633,D121_O011_S01_E02
D121,O011,1,60,0.25,163,0.257766277,0.230369452,0.067376828,24,1.041013094,83,D121_O011,2,1,D121_O011_S02,2365544153649293806,-4156162274788016460,D121_O011_S02_E01
D121,O011,1,60,0.25,163,0.257766277,0.230369452,0.067376828,24,1.041013094,84,D121_O011,2,2,D121_O011_S02,2365544153649293806,2719021023099532059,D121_O011_S02_E02
D121,O007,1,60,0.25,20,0.141130372,0.138764594,0.166622366,2,0.974703346,85,D121_O007,1,1,D121_O007_S01,602719980324352570,6177479626455451979,D121_O007_S01_E01
D121,O007,1,60,0.25,20,0.141130372,0.138764594,0.166622366,2,0.974703346,86,D121_O007,1,2,D121_O007_S01,602719980324352570,2784578825485422168,D121_O007_S01_E02
D121,O007,1,60,0.25,20,0.141130372,0.138764594,0.166622366,2,0.974703346,87,D121_O007,2,1,D121_O007_S02,6902996171400901133,3328620504827119908,D121_O007_S02_E01
D121,O007,1,60,0.25,20,0.141130372,0.138764594,0.166622366,2,0.974703346,88,D121_O007,2,2,D121_O007_S02,6902996171400901133,-3625957283516646067,D121_O007_S02_E02
D121,O005,1,60,0.25,472,0.458927508,0.08115278,0.018055532,8,0.751825682,89,D121_O005,1,1,D121_O005_S01,5650171267949399416,-1177879705318813759,D121_O005_S01_E01
D121,O005,1,60,0.25,472,0.458927508,0.08115278,0.018055532,8,0.751825682,90,D121_O005,1,2,D121_O005_S01,5650171267949399416,4815076032856642859,D121_O005_S01_E02
D121,O005,1,60,0.25,472,0.458927508,0.08115278,0.018055532,8,0.751825682,91,D121_O005,2,1,D121_O005_S02,6936258302402273596,-5260616650892081765,D121_O005_S02_E01
D121,O005,1,60,0.25,472,0.458927508,0.08115278,0.018055532,8,0.751825682,92,D121_O005,2,2,D121_O005_S02,6936258302402273596,-334675343013961342,D121_O005_S02_E02
D121,O051,1,60,0.25,264,0.415458501,0.161179135,0.311726789,12,0.922834621,93,D121_O051,1,1,D121_O051_S01,-1997570686515322604,-2236536371497278899,D121_O051_S01_E01
D121,O051,1,60,0.25,264,0.415458501,0.161179135,0.311726789,12,0.922834621,94,D121_O051,1,2,D121_O051_S01,-1997570686515322604,5138545163082726727,D121_O051_S01_E02
D121,O051,1,60,0.25,264,0.415458501,0.161179135,0.311726789,12,0.922834621,95,D121_O051,2,1,D121_O051_S02,8071449938682362949,-7394579297114585915,D121_O051_S02_E01
D121,O051,1,60,0.25,264,0.415458501,0.161179135,0.311726789,12,0.922834621,96,D121_O051,2,2,D121_O051_S02,8071449938682362949,8913080309076477062,D121_O051_S02_E02
D121,O035,1,60,0.25,173,0.041159595,0.256897351,0.341435098,22,0.936656262,97,D121_O035,1,1,D121_O035_S01,-2411640322290269616,1506352206126388401,D121_O035_S01_E01
D121,O035,1,60,0.25,173,0.041159595,0.256897351,0.341435098,22,0.936656262,98,D121_O035,1,2,D121_O035_S01,-2411640322290269616,-2170672873222287730,D121_O035_S01_E02
D121,O035,1,60,0.25,173,0.041159595,0.256897351,0.341435098,22,0.936656262,99,D121_O035,2,1,D121_O035_S02,7610651501219182942,7113344458966871546,D121_O035_S02_E01
D121,O035,1,60,0.25,173,0.041159595,0.256897351,0.341435098,22,0.936656262,100,D121_O035,2,2,D121_O035_S02,7610651501219182942,2604733270666966852,D121_O035_S02_E02
D121,O061,1,60,0.25,27,0.381805437,0.01616482,0.491613692,4,0.675221612,101,D121_O061,1,1,D121_O061_S01,-2181753562878965122,-3635987544537449062,D121_O061_S01_E01
D121,O061,1,60,0.25,27,0.381805437,0.01616482,0.491613692,4,0.675221612,102,D121_O061,1,2,D121_O061_S01,-2181753562878965122,4205422810261029562,D121_O061_S01_E02
D121,O061,1,60,0.25,27,0.381805437,0.01616482,0.491613692,4,0.675221612,103,D121_O061,2,1,D121_O061_S02,-754753795302047181,-1364837927265350966,D121_O061_S02_E01
D121,O061,1,60,0.25,27,0.381805437,0.01616482,0.491613692,4,0.675221612,104,D121_O061,2,2,D121_O061_S02,-754753795302047181,2637412945693162870,D121_O061_S02_E02
D121,O041,1,60,0.25,49,0.297735298,0.268205888,0.212580592,7,0.765018393,105,D121_O041,1,1,D121_O041_S01,-4784944800144337868,9097506570561905043,D121_O041_S01_E01
D121,O041,1,60,0.25,49,0.297735298,0.268205888,0.212580592,7,0.765018393,106,D121_O041,1,2,D121_O041_S01,-4784944800144337868,11462501139175759,D121_O041_S01_E02
D121,O041,1,60,0.25,49,0.297735298,0.268205888,0.212580592,7,0.765018393,107,D121_O041,2,1,D121_O041_S02,1609302981774916739,-4930702740104552990,D121_O041_S02_E01
D121,O041,1,60,0.25,49,0.297735298,0.268205888,0.212580592,7,0.765018393,108,D121_O041,2,2,D121_O041_S02,1609302981774916739,6803098872899425202,D121_O041_S02_E02
D121,O063,1,60,0.25,159,0.167777479,0.069957712,0.130372357,38,0.943907134,109,D121_O063,1,1,D121_O063_S01,-5937222711128947984,-638152143915064561,D121_O063_S01_E01
D121,O063,1,60,0.25,159,0.167777479,0.069957712,0.130372357,38,0.943907134,110,D121_O063,1,2,D121_O063_S01,-5937222711128947984,-4344449474676249927,D121_O063_S01_E02
D121,O063,1,60,0.25,159,0.167777479,0.069957712,0.130372357,38,0.943907134,111,D121_O063,2,1,D121_O063_S02,7686198236399818187,-7194211867198272704,D121_O063_S02_E01
D121,O063,1,60,0.25,159,0.167777479,0.069957712,0.130372357,38,0.943907134,112,D121_O063,2,2,D121_O063_S02,7686198236399818187,6919776061569463757,D121_O063_S02_E02
D121,O019,1,60,0.25,24,0.431629638,0.254066717,0.253740338,1,0.934568431,113,D121_O019,1,1,D121_O019_S01,6181953123148340042,3629017659323626463,D121_O019_S01_E01
D121,O019,1,60,0.25,24,0.431629638,0.254066717,0.253740338,1,0.934568431,114,D121_O019,1,2,D121_O019_S01,6181953123148340042,-9069736722100568732,D121_O019_S01_E02
D121,O019,1,60,0.25,24,0.431629638,0.254066717,0.253740338,1,0.934568431,115,D121_O019,2,1,D121_O019_S02,6874082500563444478,5105111316897429700,D121_O019_S02_E01
D121,O019,1,60,0.25,24,0.431629638,0.254066717,0.253740338,1,0.934568431,116,D121_O019,2,2,D121_O019_S02,6874082500563444478,6611803485343337741,D121_O019_S02_E02
D121,O012,1,60,0.25,121,0.018977159,0.042108472,0.106166432,7,0.634587855,117,D121_O012,1,1,D121_O012_S01,5643893935788917924,6287074855717435731,D121_O012_S01_E01
D121,O012,1,60,0.25,121,0.018977159,0.042108472,0.106166432,7,0.634587855,118,D121_O012,1,2,D121_O012_S01,5643893935788917924,-5486959601598149412,D121_O012_S01_E02
D121,O012,1,60,0.25,121,0.018977159,0.042108472,0.106166432,7,0.634587855,119,D121_O012,2,1,D121_O012_S02,-3126329044602482347,3924188707855228454,D121_O012_S02_E01
D121,O012,1,60,0.25,121,0.018977159,0.042108472,0.106166432,7,0.634587855,120,D121_O012,2,2,D121_O012_S02,-3126329044602482347,-9206231002087814103,D121_O012_S02_E02
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,0.694797352,121,D121_O043,1,1,D121_O043_S01,561619791456196768,9138269581331720346,D121_O043_S01_E01
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,0.694797352,122,D121_O043,1,2,D121_O043_S01,561619791456196768,-4296627685106686411,D121_O043_S01_E02
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,0.694797352,123,D121_O043,2,1,D121_O043_S02,3112372057909922349,9040850480859745123,D121_O043_S02_E01
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,0.694797352,124,D121_O043,2,2,D121_O043_S02,3112372057909922349,9101028280524587880,D121_O043_S02_E02
D121,O020,1,60,0.25,113,0.348269976,0.095285863,0.409466489,28,0.990902637,125,D121_O020,1,1,D121_O020_S01,-8738244603082868042,-2944047981860948078,D121_O020_S01_E01
D121,O020,1,60,0.25,113,0.348269976,0.095285863,0.409466489,28,0.990902637,126,D121_O020,1,2,D121_O020_S01,-8738244603082868042,9129944745938887946,D121_O020_S01_E02
D121,O020,1,60,0.25,113,0.348269976,0.095285863,0.409466489,28,0.990902637,127,D121_O020,2,1,D121_O020_S02,1798395951399969452,3431518466144186699,D121_O020_S02_E01
D121,O020,1,60,0.25,113,0.348269976,0.095285863,0.409466489,28,0.990902637,128,D121_O020,2,2,D121_O020_S02,1798395951399969452,-3838564639978339587,D121_O020_S02_E02
D121,O038,1,60,0.25,765,0.137328547,0.153890662,0.395745604,73,0.824092212,129,D121_O038,1,1,D121_O038_S01,1660387701293600270,-1756899516942168087,D121_O038_S01_E01
D121,O038,1,60,0.25,765,0.137328547,0.153890662,0.395745604,73,0.824092212,130,D121_O038,1,2,D121_O038_S01,1660387701293600270,4477372373089353150,D121_O038_S01_E02
D121,O038,1,60,0.25,765,0.137328547,0.153890662,0.395745604,73,0.824092212,131,D121_O038,2,1,D121_O038_S02,-7548973800066894470,4184157778317299848,D121_O038_S02_E01
D121,O038,1,60,0.25,765,0.137328547,0.153890662,0.395745604,73,0.824092212,132,D121_O038,2,2,D121_O038_S02,-7548973800066894470,1206877484868755744,D121_O038_S02_E02
D121,O010,1,60,0.25,78,0.42428609,0.04657399,0.47291634,6,0.886241643,133,D121_O010,1,1,D121_O010_S01,-107508907899311776,-2454927610477392376,D121_O010_S01_E01
D121,O010,1,60,0.25,78,0.42428609,0.04657399,0.47291634,6,0.886241643,134,D121_O010,1,2,D121_O010_S01,-107508907899311776,8621576470289129877,D121_O010_S01_E02
D121,O010,1,60,0.25,78,0.42428609,0.04657399,0.47291634,6,0.886241643,135,D121_O010,2,1,D121_O010_S02,854718843739710737,-1689308536916851168,D121_O010_S02_E01
D121,O010,1,60,0.25,78,0.42428609,0.04657399,0.47291634,6,0.886241643,136,D121_O010,2,2,D121_O010_S02,854718843739710737,5410287161804534217,D121_O010_S02_E02
D121,O053,1,60,0.25,251,0.008437374,0.219704544,0.077608614,11,0.857828126,137,D121_O053,1,1,D121_O053_S01,-3329954895139977559,5689081385535387984,D121_O053_S01_E01
D121,O053,1,60,0.25,251,0.008437374,0.219704544,0.077608614,11,0.857828126,138,D121_O053,1,2,D121_O053_S01,-3329954895139977559,-5036327560352114569,D121_O053_S01_E02
D121,O053,1,60,0.25,251,0.008437374,0.219704544,0.077608614,11,0.857828126,139,D121_O053,2,1,D121_O053_S02,-4795885144549658820,4414614919111023433,D121_O053_S02_E01
D121,O053,1,60,0.25,251,0.008437374,0.219704544,0.077608614,11,0.857828126,140,D121_O053,2,2,D121_O053_S02,-4795885144549658820,5878791179100632243,D121_O053_S02_E02
D121,O032,1,60,0.25,449,0.47407037,0.293964396,0.333868972,86,0.526716923,141,D121_O032,1,1,D121_O032_S01,304499319131513434,-6838191614317102377,D121_O032_S01_E01
D121,O032,1,60,0.25,449,0.47407037,0.293964396,0.333868972,86,0.526716923,142,D121_O032,1,2,D121_O032_S01,304499319131513434,3797246394835519231,D121_O032_S01_E02
D121,O032,1,60,0.25,449,0.47407037,0.293964396,0.333868972,86,0.526716923,143,D121_O032,2,1,D121_O032_S02,1997345800475221321,-4031002967640208871,D121_O032_S02_E01
D121,O032,1,60,0.25,449,0.47407037,0.293964396,0.333868972,86,0.526716923,144,D121_O032,2,2,D121_O032_S02,1997345800475221321,-6310048921982209699,D121_O032_S02_E02
D121,O083,1,60,0.25,89,0.002629244,0.11891721,0.012340148,13,0.799263288,145,D121_O083,1,1,D121_O083_S01,-5344247624452490574,-4985722541666689067,D121_O083_S01_E01
D121,O083,1,60,0.25,89,0.002629244,0.11891721,0.012340148,13,0.799263288,146,D121_O083,1,2,D121_O083_S01,-5344247624452490574,7416341312369735432,D121_O083_S01_E02
D121,O083,1,60,0.25,89,0.002629244,0.11891721,0.012340148,13,0.799263288,147,D121_O083,2,1,D121_O083_S02,7618372643363726502,4114735861559249732,D121_O083_S02_E01
D121,O083,1,60,0.25,89,0.002629244,0.11891721,0.012340148,13,0.799263288,148,D121_O083,2,2,D121_O083_S02,7618372643363726502,322774120769322851,D121_O083_S02_E02
D121,O050,1,60,0.25,322,0.206052109,0.123509785,0.230258857,78,0.710466564,149,D121_O050,1,1,D121_O050_S01,-6500233065786289023,2166272318713037251,D121_O050_S01_E01
